"";"finessGeo";"rs";"statut";"university";"cso";"LAB_SOFFCO";"code_postal";"ville";"longitude";"latitude";"adresse";"code_dep";"lib_dep";"code_reg";"lib_reg"
"35";"020016366";"SMUR CH SAINT-QUENTIN GUISE";"public";0;0;0;2120;"GUISE";"3.6400379651";"49.902839377";"858 RUE DES DOCTEURS DEVILLERS";"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"36";"020017075";"UNITÉ DE DIALYSE DE CHATEAU-THIERRY";"private for profit";0;0;0;NA;NA;NA;NA;NA;"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"37";"020017448";"SANTÉLYS DIALYSE À DOM CH ST QUENTIN";"private for profit";0;0;0;NA;NA;NA;NA;NA;"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"38";"020017455";"SANTÉLYS DIALYSE À DOMICILE CH LAON";"private for profit";0;0;0;NA;NA;NA;NA;NA;"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"39";"020018453";"SANTÉLYS DIALYSE À DOMICILE CH SOISSON";"private for profit";0;0;0;NA;NA;NA;NA;NA;"02";"AISNE";"32";"HAUTS-DE-FRANCE"
"40";"030000061";"CH DE MOULINS";"public";0;0;0;3006;"MOULINS";"3.3252615511";"46.570294903";"10 AVENUE DU GENERAL DE GAULLE";"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"41";"030000079";"CH DE MONTLUCON";"public";0;0;0;3109;"MONTLUCON";"2.6086236498";"46.342729148";"18 AVENUE DU 8 MAI 1945";"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"42";"030000087";"CH JACQUES LACARIN VICHY";"public";0;0;0;3201;"VICHY";"3.4343512418";"46.12695927";"BOULEVARD DENIERE";"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"43";"030000095";"CH DE BOURBON L'ARCHAMBAULT";"public";0;0;0;3160;"BOURBON-L'ARCHAMBAULT";"3.0461471173";"46.577203747";"";"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"44";"030003669";"UNITÉ DE DIALYSE DE MONTLUCON";"private for profit";0;0;0;3100;"MONTLUCON";"2.5820177339";"46.351675559";"95 AVENUE DES DROITS DE L'HOMME";"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"45";"030003719";"UNITÉ DE DIALYSE DE MOULINS";"private for profit";0;0;0;3006;"MOULINS";"3.3252615511";"46.570294903";"10 AVENUE DU GENERAL DE GAULLE";"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"46";"030003768";"UNITÉ DE DIALYSE DE VICHY";"private for profit";0;0;0;3209;"VICHY";"3.4343145978";"46.127238565";"54 BOULEVARD DENIERE";"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"47";"030007942";"CH DPT COEUR BOURBONNAIS ST POURCAIN";"public";0;0;0;NA;NA;NA;NA;NA;"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"48";"030780548";"POLYCLINIQUE PERGOLA - VICHY";"private for profit";0;0;0;3205;"VICHY";"3.4142160107";"46.148061165";"75 ALLEE DES AILES";"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"49";"030781116";"CLINIQUE ST-FRANC ST ANT -DESERTINE";"private for profit";0;0;0;3630;"DESERTINES";"2.6197100528";"46.345242988";"8 RUE AMBROISE CROIZAT";"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"50";"030785430";"POLYCLINIQUE ST-ODILON - MOULINS";"private for profit";0;0;0;3000;"MOULINS";"3.334400392";"46.568053478";"32 AVENUE PROFESSEUR E SORREL";"03";"ALLIER";"84";"AUVERGNE-RHÔNE-ALPES"
"51";"040000036";"EPS PIERRE GROUES DE BARCELONNETTE";"public";0;0;0;4400;"BARCELONNETTE";"6.6493527712";"44.387993204";"8 RUE MAURIN";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"52";"040000044";"EPS DUCELIA DE CASTELLANE";"public";0;0;0;4120;"CASTELLANE";"6.5051501302";"43.847984373";"QUARTIER NOTRE DAME";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"53";"040000093";"CHIC DE MANOSQUE LOUIS RAFFALLI";"public";0;0;0;4101;"MANOSQUE";"5.8096642539";"43.827200232";"RUE AUGUSTE GIRARD";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"54";"040000119";"EPS LUMIERE DE RIEZ";"public";0;0;0;4500;"RIEZ";"6.0907816769";"43.818673678";"PLACE EMILE BOUTEUIL";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"55";"040000127";"EPS VALLEE DE LA BLANCHE SEYNE ALPES";"public";0;0;0;4140;"SEYNE";"6.3644962951";"44.353048335";"ROUTE DE SAINT PONS";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"56";"040000135";"CHIC DES ALPES DU SUD SITE DE SISTERON";"public";0;0;0;4203;"SISTERON";"5.9435853121";"44.193217667";"4 AVENUE DE LA LIBERATION";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"57";"040000911";"CH DE DIGNE LES BAINS";"public";0;0;0;4003;"DIGNE-LES-BAINS";"6.1872033558";"44.077179609";"QUARTIER SAINT CHRISTOPHE";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"58";"040003113";"AUTODIALYSE CH SISTERON";"private for profit";0;0;0;4200;"SISTERON";"5.9435853121";"44.193217667";"4 AVENUE DE LA LIBERATION";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"59";"040780470";"CLINIQUE CHIRURGICALE TOUTES AURES";"private for profit";0;0;0;4100;"MANOSQUE";"5.7786737519";"43.817837369";"AVENUE DES SAVELS";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"60";"040784860";"CENTRE D'HEMODIALYSE DES ALPES";"private for profit";0;0;0;4100;"MANOSQUE";"5.8096642539";"43.827200232";"CHEMIN AUGUSTE GIRARD";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"61";"040787541";"CHR FAVRY AUTODIALYSE DIGNE";"private for profit";0;0;0;4000;"DIGNE-LES-BAINS";"6.1872033558";"44.077179609";"QUARTIER ST CHRISTOPHE";"04";"ALPES-DE-HAUTE-PROVENCE";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"62";"050000090";"CLINIQUE DES HAUTES-ALPES";"private for profit";0;0;0;5000;"GAP";"6.0704631952";"44.568689782";"3 RUE DR ANTONIN CORONAT";"05";"HAUTES-ALPES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"63";"050000223";"CH AIGUILLES QUEYRAS";"public";0;0;0;5470;"AIGUILLES";"6.8672351246";"44.780946294";"RUE SAINT JACQUES";"05";"HAUTES-ALPES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"64";"050000231";"CH DES ESCARTONS DE BRIANCON";"public";0;0;0;5105;"BRIANCON";"6.6329887885";"44.90725908";"24 AVENUE ADRIEN DAURELLE";"05";"HAUTES-ALPES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"65";"050000256";"CH D'EMBRUN";"public";0;0;0;5200;"EMBRUN";"6.4927350311";"44.561759174";"8 RUE PIERRE ET MARIE CURIE";"05";"HAUTES-ALPES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"66";"050000348";"CHIC DES ALPES DU SUD SITE DE GAP";"public";0;0;0;5007;"GAP";"6.0732588245";"44.556386494";"1 PLACE AUGUSTE MURET";"05";"HAUTES-ALPES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"67";"050003359";"UNITÉ DE DIALYSE MEDICALISEE AGDUC";"private for profit";0;0;0;5105;"BRIANCON";"6.6339589742";"44.906181819";"26 AVENUE ADRIEN DAURELLE";"05";"HAUTES-ALPES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"68";"050006022";"UNITÉ D'AUTODIALYSE AGDUC ADRET";"private for profit";0;0;0;5000;"GAP";"6.0732588245";"44.556386494";"1 PLACE AUGUSTE MURET";"05";"HAUTES-ALPES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"69";"050007533";"INSTITUT PAOLI CALMETTES RADIOTH GAP";"public";0;0;0;5007;"GAP";"6.0732588245";"44.556386494";"1 PLACE AUGUSTE MURET";"05";"HAUTES-ALPES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"70";"060000163";"CH SAINT MAUR SAINT ETIENNE TINEE";"public";0;0;0;6660;"SAINT-ETIENNE-DE-TINEE";"6.924454962";"44.255998976";"3 RUE DROITE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"71";"060000304";"CH DE BREIL SUR ROYA";"public";0;0;0;6540;"BREIL-SUR-ROYA";"7.514523125";"43.945423647";"RUE CORDIER";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"72";"060000411";"CH DU PAYS DE LA ROUDOULE PUGET";"public";0;0;0;6260;"PUGET-THENIERS";"6.8974347019";"43.952844895";"QUARTIER LA CONDAMINE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"73";"060000478";"CH DE GRASSE";"public";0;0;0;6135;"GRASSE";"6.9307583707";"43.61931171";"CHEMIN DE CLAVARY";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"74";"060000486";"CH SAINT ELOI DE SOSPEL";"public";0;0;0;6380;"SOSPEL";"7.4513591956";"43.878367933";"PLACE SAINT FRANCOIS";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"75";"060000494";"CH SAINT LAZARE DE TENDE";"public";0;0;0;6430;"TENDE";"7.5821866599";"44.038253934";"QUARTIER SPEGGI ROUTE NATIONALE 204";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"76";"060000510";"CH D'ANTIBES JUAN LES PINS";"public";0;0;0;6600;"ANTIBES";"7.1228748301";"43.60046546";"107 AVENUE DE NICE RN7 QUA FONTONNE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"77";"060000528";"CENTRE ANTOINE LACASSAGNE";"public";0;0;0;6189;"NICE";"7.279614024";"43.725485401";"36 AVENUE DE VALOMBROSE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"78";"060000544";"CH DE CANNES SIMONE VEIL";"public";0;0;0;6414;"CANNES";"7.0050775449";"43.561829531";"15 AVENUE DES BROUSSAILLES";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"79";"060001625";"CENTRE JEAN CHANTON ROQUEBILLIERE";"public";0;0;0;NA;NA;NA;NA;NA;"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"80";"060002102";"CH LA PALMOSA DE MENTON";"public";0;0;0;6507;"MENTON";"7.4734917077";"43.775718569";"2 AVENUE ANTOINE PEGLION";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"81";"060010899";"INSTITUT UNIVERSITAIRE FACE ET COU";"public";1;0;0;6000;"NICE";"7.279614024";"43.725485401";"31 AVENUE DE VALOMBROSE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"82";"060010949";"AGAHTIR UDM ANTIBES";"private for profit";0;0;0;6606;"ANTIBES";"7.1250896031";"43.58041545";"130 AVENUE DE NICE RN7";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"83";"060019676";"AUTODIALYSE AGATHIR CH PETIT PARIS";"private for profit";0;0;0;6130;"GRASSE";"6.9307583707";"43.61931171";"CHEMIN DE CLAVARY";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"84";"060021276";"AGAHTIR CENTRE D'HEMODIALYSE";"private for profit";0;0;0;6105;"NICE";"7.272875323";"43.73941194";"2 AVENUE DE RIMIEZ";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"85";"060021417";"HÔPITAL PRIVÉ CANNES OXFORD";"private for profit";0;0;0;6400;"CANNES";"7.0277536695";"43.564719817";"33 BOULEVARD D'OXFORD";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"86";"060024411";"CHU DE NICE ANTENNE SMUR SITE HPNCL";"public";1;0;0;6000;"NICE";"7.2411497955";"43.689378755";"57 AVENUE DE LA CALIFORNIE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"87";"060025285";"UAD VIVALTO";"private for profit";0;0;0;NA;NA;NA;NA;NA;"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"88";"060780442";"CLINIQUE SAINT FRANCOIS";"private for profit";0;0;0;6046;"NICE";"7.2819243292";"43.722483724";"10 BOULEVARD PASTEUR";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"89";"060780491";"INSTITUT ARNAULT TZANCK";"private for profit";0;0;0;6721;"SAINT-LAURENT-DU-VAR";"7.1852198744";"43.661531431";"231 AVENUE DU DOCTEUR MAURICE DONAT";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"90";"060780517";"POLYCLINIQUE SAINT-JEAN";"private for profit";0;0;0;6800;"CAGNES-SUR-MER";"7.1364581223";"43.66071341";"81 AVENUE DU DOCTEUR MAURICE DONAT";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"91";"060780590";"CLINIQUE DU PALAIS";"private for profit";0;0;0;6130;"GRASSE";"6.9295861173";"43.657381238";"25 AVENUE CHIRIS";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"92";"060780715";"CLINIQUE SAINT GEORGE";"private for profit";0;0;0;6105;"NICE";"7.272875323";"43.73941194";"2 AVENUE DE RIMIEZ";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"93";"060780723";"CLINIQUE DU PARC IMPERIAL";"private for profit";0;0;0;6045;"NICE";"7.2519589571";"43.702824885";"28 BOULEVARD TZAREWITCH";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"94";"060780756";"CLINIQUE SANTA MARIA";"private for profit";0;0;0;6200;"NICE";"7.2411497955";"43.689378755";"57 AVENUE DE LA CALIFORNIE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"95";"060780947";"HÔPITAUX PEDIATRIQUES NICE CHU LENVAL";"private not-for-profit";0;0;0;6200;"NICE";"7.2411497955";"43.689378755";"57 AVENUE DE LA CALIFORNIE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"96";"060781200";"CLINIQUE SAINT ANTOINE";"private for profit";0;0;0;6004;"NICE";"7.2624769548";"43.701953505";"7 AVENUE DURANTE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"97";"060785003";"CHU DE NICE HÔPITAL PASTEUR";"public";1;0;0;6000;"NICE";"7.2828161606";"43.724935824";"30 AVENUE DE LA VOIE ROMAINE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"98";"060788957";"CHU DE NICE HÔPITAL DE CIMIEZ";"public";1;0;0;6003;"NICE";"7.2734005385";"43.720989591";"4 AVENUE REINE VICTORIA";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"99";"060789195";"CHU DE NICE HÔPITAL DE L'ARCHET";"public";1;1;0;6200;"NICE";"7.2036359123";"43.70156785";"151 ROUTE SAINT ANTOINE DE GINESTIERE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"100";"060791811";"HÔPITAL PRIVÉ GERIATRIQUE LES SOURCES";"private not-for-profit";0;0;0;6105;"NICE";"7.2769639421";"43.740567003";"10 CAMIN RENE PIETRUSCHI";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"101";"060791860";"CENTRE D'HEMODIALYSE A TZANCK";"private for profit";0;0;0;6721;"SAINT-LAURENT-DU-VAR";"7.1867735481";"43.661561687";"AVENUE DU DOCTEUR MAURICE DONAT";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"102";"060792090";"AGATHIR DIALYSE A DOMICILE";"private for profit";0;0;0;6730;"SAINT-ANDRE-DE-LA-ROCHE";"7.2876238723";"43.739841049";"ZONE INDUSTRIELLE LA VALLIERE BAT 3";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"103";"060792736";"AGAHTIR AUTODIALYSE NICE";"private for profit";0;0;0;6300;"NICE";"7.2848919884";"43.704704141";"25 RUE BARBERIS";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"104";"060792900";"A TZANCK AUTODIALYSE MOUGINS";"private for profit";0;0;0;6250;"MOUGINS";"7.0104516267";"43.607694842";"544 AVENUE GENERAL DE GAULLE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"105";"060792926";"CENTRE D'HEMODIALYSE LA RIVIERA ANTIBES";"private for profit";0;0;0;6600;"ANTIBES";"7.1214490705";"43.600465541";"103 AVENUE DE NICE";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"106";"060794013";"CENTRE CARDIO MEDICO CHIRURGICAL TZANCK";"private not-for-profit";0;0;0;6721;"SAINT-LAURENT-DU-VAR";"7.1852198744";"43.661531431";"231 AVENUE DU DOCTEUR MAURICE DONAT";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"107";"060800166";"HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS";"private for profit";0;0;0;6254;"MOUGINS";"7.0116629327";"43.609767283";"122 AVENUE DU DOCTEUR MAURICE DONAT";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"108";"060801016";"AGAHTIR AUTODIALYSE MANDELIEU";"private for profit";0;0;0;6210;"MANDELIEU-LA-NAPOULE";"6.9320198578";"43.542800313";"601 AVENUE DE FREJUS";"06";"ALPES-MARITIMES";"93";"PROVENCE-ALPES-CÔTE D'AZUR"
"109";"070000013";"CH DE PRIVAS ARDECHE";"public";0;0;0;7007;"PRIVAS";"4.58727874";"44.731761608";"2 AVENUE PASTEUR";"07";"ARDÈCHE";"84";"AUVERGNE-RHÔNE-ALPES"
"110";"070000021";"CH DE JOYEUSE";"public";0;0;0;7260;"JOYEUSE";"4.2399136448";"44.479041212";"RUE DU DOCTEUR PIALAT";"07";"ARDÈCHE";"84";"AUVERGNE-RHÔNE-ALPES"
"111";"070000039";"CH DE VALLON PONT D'ARC";"public";0;0;0;7150;"VALLON-PONT-D'ARC";"4.3946857055";"44.405976058";"RUE LOUIS CLARON";"07";"ARDÈCHE";"84";"AUVERGNE-RHÔNE-ALPES"
"112";"070000047";"CH DE VILLENEUVE DE BERG";"public";0;0;0;7170;"VILLENEUVE-DE-BERG";"4.4996572155";"44.558136965";"RUE DE L'HOPITAL";"07";"ARDÈCHE";"84";"AUVERGNE-RHÔNE-ALPES"
