"finessGeoDP","rs","codeGeo","lib_com","NB_pts","PCT_pts","PCT_CUM_pts"
"010780203","HÃ”PITAL PRIVÃ‰ D'AMBERIEU","01320","CHALAMONT",12,2.7,67.3
"020000162","CH SAINT-QUENTIN","02100","ST QUENTIN",61,21,21
"020000162","CH SAINT-QUENTIN","02700","TERGNIER",32,11,32
"020000162","CH SAINT-QUENTIN","02300","CHAUNY",31,10.7,42.7
"020000162","CH SAINT-QUENTIN","80200","PERONNE",19,6.6,49.3
"020000162","CH SAINT-QUENTIN","02800","LA FERE",17,5.9,55.2
"020000162","CH SAINT-QUENTIN","02110","BOHAIN EN VERMANDOIS",13,4.5,59.7
"020000394","CH LAON","02000","LAON",66,33.3,33.3
"020000394","CH LAON","02270","CRÉCY-SUR-SERRE",15,7.6,40.9
"020000519","CH SOISSONS","02200","SOISSONS",106,46.1,46.1
"020000519","CH SOISSONS","02880","CROUY",18,7.8,53.9
"020000519","CH SOISSONS","02600","VILLERS COTTERETS",16,7,60.9
"020000519","CH SOISSONS","02210","COINCY",13,5.7,66.6
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE","02100","ST QUENTIN",79,23.9,23.9
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE","02110","BOHAIN EN VERMANDOIS",23,7,30.9
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE","02700","TERGNIER",17,5.2,36.1
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE","02300","CHAUNY",16,4.8,40.9
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE","80400","HAM",15,4.5,49.9
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE","02420","LEHAUCOURT",15,4.5,45.4
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE","02270","CRÉCY-SUR-SERRE",12,3.6,53.5
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE","02800","LA FERE",12,3.6,57.1
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE","02C02","RIBEMONT",11,3.3,60.4
"030781116","POLYCLINIQUE ST-FRANCOIS ST-ANTOINE","03100","MONTLUCON",59,23.3,23.3
"030781116","POLYCLINIQUE ST-FRANCOIS ST-ANTOINE","03410","DOMERAT",21,8.3,31.6
"030781116","POLYCLINIQUE ST-FRANCOIS ST-ANTOINE","03380","HURIEL",13,5.1,36.7
"030781116","POLYCLINIQUE ST-FRANCOIS ST-ANTOINE","03170","DOYET",11,4.3,41
"040000093","CHIC DE MANOSQUE LOUIS RAFFALLI","04100","MANOSQUE",25,20,20
"040000093","CHIC DE MANOSQUE LOUIS RAFFALLI","04700","ORAISON",16,12.8,32.8
"050000348","CHIC DES ALPES DU SUD SITE DE GAP","05000","GAP",50,24.9,24.9
"050000348","CHIC DES ALPES DU SUD SITE DE GAP","04C08","CHÂTEAU-ARNOUX-SAINT-AUBAN",16,8,32.9
"050000348","CHIC DES ALPES DU SUD SITE DE GAP","05300","LARAGNE MONTEGLIN",12,6,38.9
"050000348","CHIC DES ALPES DU SUD SITE DE GAP","05400","VEYNES",12,6,44.9
"060000478","CH DE GRASSE","06130","GRASSE",34,25.6,25.6
"060000478","CH DE GRASSE","06400","CANNES",22,16.5,42.1
"060000478","CH DE GRASSE","83440","MONTAUROUX",11,8.3,50.4
"060000510","CH D'ANTIBES JUAN LES PINS","06600","ANTIBES",81,18.9,18.9
"060000510","CH D'ANTIBES JUAN LES PINS","06220","VALLAURIS",51,11.9,30.8
"060000510","CH D'ANTIBES JUAN LES PINS","06400","CANNES",43,10,40.8
"060000510","CH D'ANTIBES JUAN LES PINS","06110","LE CANNET",34,7.9,48.7
"060000510","CH D'ANTIBES JUAN LES PINS","06800","CAGNES-SUR-MER",20,4.7,53.4
"060000510","CH D'ANTIBES JUAN LES PINS","06000","NICE",18,4.2,57.6
"060000510","CH D'ANTIBES JUAN LES PINS","06130","GRASSE",18,4.2,61.8
"060000510","CH D'ANTIBES JUAN LES PINS","06270","VILLENEUVE-LOUBET",15,3.5,65.3
"060000510","CH D'ANTIBES JUAN LES PINS","06560","VALBONNE",13,3,71.3
"060000510","CH D'ANTIBES JUAN LES PINS","06210","MANDELIEU LA NAPOULE",13,3,68.3
"060000510","CH D'ANTIBES JUAN LES PINS","06140","VENCE",11,2.6,73.9
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD","06400","CANNES",81,22.1,22.1
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD","06110","LE CANNET",41,11.2,33.3
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD","06600","ANTIBES",32,8.7,42
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD","83440","MONTAUROUX",23,6.3,48.3
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD","06130","GRASSE",19,5.2,53.5
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD","06210","MANDELIEU LA NAPOULE",17,4.6,58.1
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD","06250","MOUGINS",16,4.4,62.5
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD","06220","VALLAURIS",14,3.8,66.3
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD","06530","PEYMEINADE",11,3,69.3
"060780491","INSTITUT ARNAULT TZANCK","06000","NICE",100,24.6,24.6
"060780491","INSTITUT ARNAULT TZANCK","06800","CAGNES-SUR-MER",47,11.6,36.2
"060780491","INSTITUT ARNAULT TZANCK","06700","SAINT-LAURENT-DU-VAR",44,10.8,47
"060780491","INSTITUT ARNAULT TZANCK","06600","ANTIBES",24,5.9,52.9
"060780491","INSTITUT ARNAULT TZANCK","06510","CARROS",23,5.7,58.6
"060780491","INSTITUT ARNAULT TZANCK","06140","VENCE",13,3.2,61.8
"060780590","CLINIQUE DU PALAIS","06130","GRASSE",60,25.4,25.4
"060780590","CLINIQUE DU PALAIS","06530","PEYMEINADE",34,14.4,39.8
"060780590","CLINIQUE DU PALAIS","83440","MONTAUROUX",16,6.8,46.6
"060780590","CLINIQUE DU PALAIS","06400","CANNES",12,5.1,56.8
"060780590","CLINIQUE DU PALAIS","06110","LE CANNET",12,5.1,51.7
"060780715","CLINIQUE SAINT GEORGE","06000","NICE",150,46,46
"060780715","CLINIQUE SAINT GEORGE","06340","LA TRINITÉ",18,5.5,51.5
"060780715","CLINIQUE SAINT GEORGE","06800","CAGNES-SUR-MER",11,3.4,54.9
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06000","NICE",310,41.1,41.1
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","2AC14","AJACCIO",32,4.2,45.3
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06800","CAGNES-SUR-MER",23,3,48.3
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06510","CARROS",22,2.9,51.2
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06340","LA TRINITÉ",20,2.6,53.8
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06600","ANTIBES",19,2.5,56.3
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06700","SAINT-LAURENT-DU-VAR",18,2.4,58.7
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06110","LE CANNET",16,2.1,60.8
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","83300","DRAGUIGNAN",15,2,64.8
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06400","CANNES",15,2,62.8
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06130","GRASSE",14,1.9,66.7
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","83600","FRÉJUS",14,1.9,68.6
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06730","SAINT-ANDRÉ-DE-LA-ROCHE",13,1.7,70.3
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET","06140","VENCE",12,1.6,71.9
"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS","06400","CANNES",37,32.5,32.5
"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS","06000","NICE",16,14,46.5
"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS","06110","LE CANNET",13,11.4,57.9
"070780424","CLINIQUE PASTEUR","26000","VALENCE",52,11.2,11.2
"070780424","CLINIQUE PASTEUR","26800","PORTES-LÈS-VALENCE",28,6,17.2
"070780424","CLINIQUE PASTEUR","26250","LIVRON-SUR-DRÔME",27,5.8,23
"070780424","CLINIQUE PASTEUR","26500","BOURG LES VALENCE",24,5.2,28.2
"070780424","CLINIQUE PASTEUR","26600","TAIN L HERMITAGE",23,4.9,33.1
"070780424","CLINIQUE PASTEUR","26300","BOURG DE PEAGE",19,4.1,37.2
"070780424","CLINIQUE PASTEUR","26400","CREST",17,3.6,40.8
"070780424","CLINIQUE PASTEUR","26270","LORIOL-SUR-DRÔME",15,3.2,50.4
"070780424","CLINIQUE PASTEUR","26200","MONTÉLIMAR",15,3.2,47.2
"070780424","CLINIQUE PASTEUR","26120","CHABEUIL",15,3.2,44
"070780424","CLINIQUE PASTEUR","07000","PRIVAS",14,3,53.4
"070780424","CLINIQUE PASTEUR","26100","ROMANS SUR ISERE",14,3,62.4
"070780424","CLINIQUE PASTEUR","07C06","LA VOULTE-SUR-RHÔNE",14,3,59.4
"070780424","CLINIQUE PASTEUR","07500","GUILHERAND-GRANGES",14,3,56.4
"070780424","CLINIQUE PASTEUR","07300","TOURNON-SUR-RHÔNE",12,2.6,67.6
"070780424","CLINIQUE PASTEUR","07130","SAINT-PÉRAY",12,2.6,65
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08000","CHARLEVILLE MEZIERES",129,24,24
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08200","SEDAN",38,7.1,31.1
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08300","RETHEL",21,3.9,35
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08C01","BOULZICOURT",21,3.9,38.9
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","51100","REIMS",20,3.7,42.6
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08110","CARIGNAN",19,3.5,46.1
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08140","BAZEILLES",18,3.3,49.4
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08800","MONTHERME",17,3.2,52.6
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08090","AIGLEMONT",15,2.8,55.4
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08700","NOUZONVILLE",14,2.6,58
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","55700","STENAY",13,2.4,65.2
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08150","RENWEZ",13,2.4,60.4
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08440","VIVIER AU COURT",13,2.4,62.8
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08160","NOUVION SUR MEUSE",12,2.2,67.4
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI","08130","ATTIGNY",11,2,69.4
"100000082","CLINIQUE PAYS DE SEINE","10100","ROMILLY-SUR-SEINE",18,11.8,11.8
"100000082","CLINIQUE PAYS DE SEINE","77320","LA FERTÉ-GAUCHER",12,7.8,19.6
"100000082","CLINIQUE PAYS DE SEINE","77160","PROVINS",11,7.2,26.8
"100000124","POLYCLINIQUE MONTIER LA CELLE","10000","TROYES",66,12.5,12.5
"100000124","POLYCLINIQUE MONTIER LA CELLE","51300","VITRY LE FRANCOIS",33,6.2,18.7
"100000124","POLYCLINIQUE MONTIER LA CELLE","10600","LA CHAPELLE ST LUC",21,4,22.7
"100000124","POLYCLINIQUE MONTIER LA CELLE","10120","SAINT-ANDRÉ-LES-VERGERS",19,3.6,26.3
"100000124","POLYCLINIQUE MONTIER LA CELLE","10150","PONT-SAINTE-MARIE",19,3.6,29.9
"100000124","POLYCLINIQUE MONTIER LA CELLE","10800","ST JULIEN LES VILLAS",15,2.8,32.7
"100000124","POLYCLINIQUE MONTIER LA CELLE","10500","BRIENNE LE CHATEAU",14,2.7,35.4
"100000124","POLYCLINIQUE MONTIER LA CELLE","10110","BAR SUR SEINE",13,2.5,37.9
"100000124","POLYCLINIQUE MONTIER LA CELLE","10C01","AIX-VILLEMAUR-PÂLIS",12,2.3,40.2
"100000124","POLYCLINIQUE MONTIER LA CELLE","10200","BAR SUR AUBE",11,2.1,44.4
"100000124","POLYCLINIQUE MONTIER LA CELLE","10300","SAINTE-SAVINE",11,2.1,46.5
"100000124","POLYCLINIQUE MONTIER LA CELLE","10100","ROMILLY-SUR-SEINE",11,2.1,42.3
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ","10100","ROMILLY-SUR-SEINE",20,7.6,7.6
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ","10000","TROYES",19,7.2,14.8
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ","77320","LA FERTÉ-GAUCHER",18,6.8,21.6
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ","10400","NOGENT SUR SEINE",14,5.3,26.9
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ","77160","PROVINS",12,4.6,31.5
"110000023","CH CARCASSONNE","11000","CARCASSONNE",137,28.5,28.5
"110000023","CH CARCASSONNE","11300","LIMOUX",50,10.4,38.9
"110000023","CH CARCASSONNE","11200","LEZIGNAN CORBIERES",33,6.9,45.8
"110000023","CH CARCASSONNE","11800","TREBES",27,5.6,51.4
"110000023","CH CARCASSONNE","11150","BRAM",25,5.2,56.6
"110000023","CH CARCASSONNE","11400","CASTELNAUDARY",21,4.4,61
"110000023","CH CARCASSONNE","11170","PEZENS",17,3.5,64.5
"110000023","CH CARCASSONNE","11700","CAPENDU",17,3.5,68
"110000023","CH CARCASSONNE","11600","CONQUES-SUR-ORBIEL",16,3.3,71.3
"110000023","CH CARCASSONNE","11290","MONTRÉAL",14,2.9,74.2
"110000023","CH CARCASSONNE","11160","RIEUX MINERVOIS",12,2.5,76.7
"110000023","CH CARCASSONNE","11250","POMAS",12,2.5,79.2
"110000056","CH NARBONNE","11100","NARBONNE",69,36.3,36.3
"110000056","CH NARBONNE","11200","LEZIGNAN CORBIERES",34,17.9,54.2
"110000056","CH NARBONNE","11110","COURSAN",15,7.9,62.1
"130000409","CHIC SITE D'AIX EN PROVENCE","13100","AIX-EN-PROVENCE",40,20.2,20.2
"130000409","CHIC SITE D'AIX EN PROVENCE","84120","PERTUIS",18,9.1,29.3
"130000409","CHIC SITE D'AIX EN PROVENCE","13120","GARDANNE",12,6.1,35.4
"130001225","HÃ”PITAL DU PAYS SALONAIS","13300","SALON DE PROVENCE",76,28.7,28.7
"130001225","HÃ”PITAL DU PAYS SALONAIS","13140","MIRAMAS",29,10.9,39.6
"130001225","HÃ”PITAL DU PAYS SALONAIS","13560","SENAS",12,4.5,44.1
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13015","MARSEILLE 15",112,10.6,10.6
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13013","MARSEILLE 13E ARRONDISSEMENT",93,8.8,19.4
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13014","MARSEILLE 14E ARRONDISSEMENT",91,8.6,28
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13003","MARSEILLE 3E ARRONDISSEMENT",71,6.7,34.7
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13012","MARSEILLE 12E ARRONDISSEMENT",38,3.6,41.9
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13011","MARSEILLE 11E ARRONDISSEMENT",38,3.6,38.3
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13010","MARSEILLE 10E ARRONDISSEMENT",35,3.3,45.2
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13004","MARSEILLE 4E ARRONDISSEMENT",31,2.9,48.1
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13005","MARSEILLE 05",30,2.8,53.7
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13001","MARSEILLE 01",30,2.8,50.9
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13016","MARSEILLE 16",30,2.8,56.5
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13002","MARSEILLE",26,2.5,59
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13127","VITROLLES",25,2.4,61.4
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13008","MARSEILLE 8E ARRONDISSEMENT",22,2.1,63.5
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13009","MARSEILLE 9E ARRONDISSEMENT",21,2,65.5
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13170","LES PENNES-MIRABEAU",20,1.9,67.4
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13700","MARIGNANE",18,1.7,69.1
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13190","ALLAUCH",13,1.2,70.3
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13400","AUBAGNE",12,1.1,72.5
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13800","ISTRES",12,1.1,74.7
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13600","LA CIOTAT",12,1.1,73.6
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","13006","MARSEILLE 06",12,1.1,71.4
"130780521","APHM HÃ”PITAL NORD","13015","MARSEILLE 15",43,12.6,12.6
"130780521","APHM HÃ”PITAL NORD","13013","MARSEILLE 13E ARRONDISSEMENT",24,7,19.6
"130780521","APHM HÃ”PITAL NORD","13127","VITROLLES",14,4.1,23.7
"130780521","APHM HÃ”PITAL NORD","13500","MARTIGUES",13,3.8,31.3
"130780521","APHM HÃ”PITAL NORD","13016","MARSEILLE 16",13,3.8,27.5
"130781479","CLINIQUE LA CASAMANCE","13400","AUBAGNE",73,11.2,11.2
"130781479","CLINIQUE LA CASAMANCE","13011","MARSEILLE 11E ARRONDISSEMENT",55,8.5,19.7
"130781479","CLINIQUE LA CASAMANCE","13600","LA CIOTAT",39,6,25.7
"130781479","CLINIQUE LA CASAMANCE","13012","MARSEILLE 12E ARRONDISSEMENT",33,5.1,30.8
"130781479","CLINIQUE LA CASAMANCE","13010","MARSEILLE 10E ARRONDISSEMENT",32,4.9,35.7
"130781479","CLINIQUE LA CASAMANCE","13013","MARSEILLE 13E ARRONDISSEMENT",31,4.8,40.5
"130781479","CLINIQUE LA CASAMANCE","13190","ALLAUCH",22,3.4,43.9
"130781479","CLINIQUE LA CASAMANCE","13009","MARSEILLE 9E ARRONDISSEMENT",20,3.1,47
"130781479","CLINIQUE LA CASAMANCE","13390","AURIOL",17,2.6,49.6
"130781479","CLINIQUE LA CASAMANCE","13821","LA PENNE-SUR-HUVEAUNE",16,2.5,52.1
"130781479","CLINIQUE LA CASAMANCE","83470","SAINT-MAXIMIN-LA-SAINTE-BAUME",15,2.3,54.4
"130781479","CLINIQUE LA CASAMANCE","13470","CARNOUX-EN-PROVENCE",12,1.8,58
"130781479","CLINIQUE LA CASAMANCE","83270","ST CYR SUR MER",12,1.8,61.6
"130781479","CLINIQUE LA CASAMANCE","13380","PLAN-DE-CUQUES",12,1.8,56.2
"130781479","CLINIQUE LA CASAMANCE","13780","CUGES-LES-PINS",12,1.8,59.8
"130781479","CLINIQUE LA CASAMANCE","13015","MARSEILLE 15",11,1.7,63.3
"130782162","CLINIQUE DE MARTIGUES","13800","ISTRES",98,20.2,20.2
"130782162","CLINIQUE DE MARTIGUES","13500","MARTIGUES",79,16.3,36.5
"130782162","CLINIQUE DE MARTIGUES","13110","PORT DE BOUC",48,9.9,46.4
"130782162","CLINIQUE DE MARTIGUES","13270","FOS SUR MER",45,9.3,55.7
"130782162","CLINIQUE DE MARTIGUES","13700","MARIGNANE",41,8.4,64.1
"130782162","CLINIQUE DE MARTIGUES","13140","MIRAMAS",25,5.1,69.2
"130782162","CLINIQUE DE MARTIGUES","13220","CHÂTEAUNEUF-LES-MARTIGUES",17,3.5,72.7
"130782162","CLINIQUE DE MARTIGUES","13127","VITROLLES",14,2.9,75.6
"130782162","CLINIQUE DE MARTIGUES","13230","PORT ST LOUIS DU RHONE",12,2.5,78.1
"130783236","APHM HÃ”PITAL LA CONCEPTION","13011","MARSEILLE 11E ARRONDISSEMENT",33,7.6,7.6
"130783236","APHM HÃ”PITAL LA CONCEPTION","13013","MARSEILLE 13E ARRONDISSEMENT",31,7.1,21.8
"130783236","APHM HÃ”PITAL LA CONCEPTION","13009","MARSEILLE 9E ARRONDISSEMENT",31,7.1,14.7
"130783236","APHM HÃ”PITAL LA CONCEPTION","13014","MARSEILLE 14E ARRONDISSEMENT",29,6.7,28.5
"130783236","APHM HÃ”PITAL LA CONCEPTION","13004","MARSEILLE 4E ARRONDISSEMENT",25,5.8,34.3
"130783236","APHM HÃ”PITAL LA CONCEPTION","13012","MARSEILLE 12E ARRONDISSEMENT",25,5.8,40.1
"130783236","APHM HÃ”PITAL LA CONCEPTION","13015","MARSEILLE 15",25,5.8,45.9
"130783236","APHM HÃ”PITAL LA CONCEPTION","13010","MARSEILLE 10E ARRONDISSEMENT",24,5.5,51.4
"130783236","APHM HÃ”PITAL LA CONCEPTION","13005","MARSEILLE 05",22,5.1,56.5
"130783236","APHM HÃ”PITAL LA CONCEPTION","13008","MARSEILLE 8E ARRONDISSEMENT",18,4.1,60.6
"130783327","CLINIQUE BOUCHARD","13013","MARSEILLE 13E ARRONDISSEMENT",100,9.9,9.9
"130783327","CLINIQUE BOUCHARD","13015","MARSEILLE 15",58,5.7,15.6
"130783327","CLINIQUE BOUCHARD","13009","MARSEILLE 9E ARRONDISSEMENT",56,5.5,21.1
"130783327","CLINIQUE BOUCHARD","13014","MARSEILLE 14E ARRONDISSEMENT",53,5.2,26.3
"130783327","CLINIQUE BOUCHARD","13010","MARSEILLE 10E ARRONDISSEMENT",46,4.5,30.8
"130783327","CLINIQUE BOUCHARD","13008","MARSEILLE 8E ARRONDISSEMENT",44,4.3,35.1
"130783327","CLINIQUE BOUCHARD","13011","MARSEILLE 11E ARRONDISSEMENT",38,3.7,38.8
"130783327","CLINIQUE BOUCHARD","13003","MARSEILLE 3E ARRONDISSEMENT",36,3.6,42.4
"130783327","CLINIQUE BOUCHARD","13012","MARSEILLE 12E ARRONDISSEMENT",33,3.3,45.7
"130783327","CLINIQUE BOUCHARD","13004","MARSEILLE 4E ARRONDISSEMENT",31,3.1,48.8
"130783327","CLINIQUE BOUCHARD","13700","MARIGNANE",21,2.1,55.1
"130783327","CLINIQUE BOUCHARD","13005","MARSEILLE 05",21,2.1,50.9
"130783327","CLINIQUE BOUCHARD","13006","MARSEILLE 06",21,2.1,53
"130783327","CLINIQUE BOUCHARD","13127","VITROLLES",19,1.9,57
"130783327","CLINIQUE BOUCHARD","83000","TOULON",17,1.7,58.7
"130783327","CLINIQUE BOUCHARD","13001","MARSEILLE 01",15,1.5,60.2
"130783327","CLINIQUE BOUCHARD","13240","SEPTÈMES-LES-VALLONS",13,1.3,62.8
"130783327","CLINIQUE BOUCHARD","13110","PORT DE BOUC",13,1.3,61.5
"130783327","CLINIQUE BOUCHARD","13500","MARTIGUES",12,1.2,65.2
"130783327","CLINIQUE BOUCHARD","13016","MARSEILLE 16",12,1.2,64
"130783327","CLINIQUE BOUCHARD","13800","ISTRES",11,1.1,66.3
"130784051","POLYCLINIQUE CLAIRVAL","13200","ARLES",28,14.6,14.6
"130784051","POLYCLINIQUE CLAIRVAL","13009","MARSEILLE 9E ARRONDISSEMENT",11,5.7,20.3
"130785652","HÃ”PITAL SAINT JOSEPH","13010","MARSEILLE 10E ARRONDISSEMENT",55,12.3,12.3
"130785652","HÃ”PITAL SAINT JOSEPH","13009","MARSEILLE 9E ARRONDISSEMENT",52,11.6,23.9
"130785652","HÃ”PITAL SAINT JOSEPH","13008","MARSEILLE 8E ARRONDISSEMENT",48,10.7,34.6
"130785652","HÃ”PITAL SAINT JOSEPH","13013","MARSEILLE 13E ARRONDISSEMENT",30,6.7,41.3
"130785652","HÃ”PITAL SAINT JOSEPH","13012","MARSEILLE 12E ARRONDISSEMENT",28,6.3,47.6
"130785652","HÃ”PITAL SAINT JOSEPH","13014","MARSEILLE 14E ARRONDISSEMENT",25,5.6,53.2
"130785652","HÃ”PITAL SAINT JOSEPH","13011","MARSEILLE 11E ARRONDISSEMENT",23,5.1,58.3
"130785652","HÃ”PITAL SAINT JOSEPH","13005","MARSEILLE 05",13,2.9,61.2
"130785652","HÃ”PITAL SAINT JOSEPH","13400","AUBAGNE",11,2.5,63.7
"130786361","POLYCLINIQUE DU PARC RAMBOT","13100","AIX-EN-PROVENCE",155,12.7,12.7
"130786361","POLYCLINIQUE DU PARC RAMBOT","13127","VITROLLES",39,3.2,15.9
"130786361","POLYCLINIQUE DU PARC RAMBOT","13700","MARIGNANE",34,2.8,21.5
