"finessGeo_index","Hospital_index","TOT_etb","TOT_compet","finessGeo_competitor","Hospital_competitor"
"020000519","CH SOISSONS",137,21,"510024979","POLYCLINIQUE DE BEZANNES"
"020000519","CH SOISSONS",153,10,"600113476","CH CHICN COMPIÃˆGNE"
"020000519","CH SOISSONS",153,9,"020000394","CH LAON"
"020000519","CH SOISSONS",124,8,"800006124","CHU AMIENS SUD"
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE",200,175,"020000162","CH SAINT-QUENTIN"
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE",147,40,"020000394","CH LAON"
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE",185,28,"590811279","HÃ”PITAL CLAUDE HURIEZ CHU LILLE"
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE",150,20,"590008041","POLYCLINIQUE VAUBAN"
"020010047","HÃ”PITAL PRIVÃ‰ SAINT CLAUDE",139,20,"600100754","POLYCLINIQUE SAINT-COME SA"
"030781116","POLYCLINIQUE ST-FRANCOIS ST-ANTOINE",93,7,"630781268","HÃ”PITAL ESTAING - CHU63"
"030781116","POLYCLINIQUE ST-FRANCOIS ST-ANTOINE",80,4,"630780211","POLE SANTÃ‰ REPUBLIQUE - CLERMONT"
"030781116","POLYCLINIQUE ST-FRANCOIS ST-ANTOINE",59,4,"870000288","CLINIQUE FRANÃ‡OIS CHENIEUX"
"030781116","POLYCLINIQUE ST-FRANCOIS ST-ANTOINE",91,3,"690780648","CLINIQUE DE LA SAUVEGARDE"
"030781116","POLYCLINIQUE ST-FRANCOIS ST-ANTOINE",59,2,"690780390","POLYCLINIQUE DE RILLIEUX"
"040000093","CHIC DE MANOSQUE LOUIS RAFFALLI",41,22,"130810740","CLINIQUE AXIUM"
"040000093","CHIC DE MANOSQUE LOUIS RAFFALLI",41,5,"130786361","POLYCLINIQUE DU PARC RAMBOT"
"040000093","CHIC DE MANOSQUE LOUIS RAFFALLI",25,2,"130000409","CHIC SITE D'AIX EN PROVENCE"
"040000093","CHIC DE MANOSQUE LOUIS RAFFALLI",25,2,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"040000093","CHIC DE MANOSQUE LOUIS RAFFALLI",25,2,"130780521","APHM HÃ”PITAL NORD"
"050000348","CHIC DES ALPES DU SUD SITE DE GAP",90,14,"130786361","POLYCLINIQUE DU PARC RAMBOT"
"050000348","CHIC DES ALPES DU SUD SITE DE GAP",78,8,"130810740","CLINIQUE AXIUM"
"050000348","CHIC DES ALPES DU SUD SITE DE GAP",16,6,"040000093","CHIC DE MANOSQUE LOUIS RAFFALLI"
"050000348","CHIC DES ALPES DU SUD SITE DE GAP",74,6,"830100459","CLINIQUE SAINT MICHEL"
"050000348","CHIC DES ALPES DU SUD SITE DE GAP",28,4,"130780521","APHM HÃ”PITAL NORD"
"060000478","CH DE GRASSE",67,123,"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD"
"060000478","CH DE GRASSE",67,88,"060780590","CLINIQUE DU PALAIS"
"060000478","CH DE GRASSE",67,68,"060000510","CH D'ANTIBES JUAN LES PINS"
"060000478","CH DE GRASSE",67,44,"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS"
"060000478","CH DE GRASSE",67,35,"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET"
"060000510","CH D'ANTIBES JUAN LES PINS",317,433,"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET"
"060000510","CH D'ANTIBES JUAN LES PINS",317,227,"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD"
"060000510","CH D'ANTIBES JUAN LES PINS",317,221,"060780491","INSTITUT ARNAULT TZANCK"
"060000510","CH D'ANTIBES JUAN LES PINS",317,192,"060780715","CLINIQUE SAINT GEORGE"
"060000510","CH D'ANTIBES JUAN LES PINS",291,104,"060780590","CLINIQUE DU PALAIS"
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD",254,267,"060000510","CH D'ANTIBES JUAN LES PINS"
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD",254,153,"060780590","CLINIQUE DU PALAIS"
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD",254,100,"060000478","CH DE GRASSE"
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD",254,87,"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET"
"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD",240,72,"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS"
"060780491","INSTITUT ARNAULT TZANCK",251,404,"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET"
"060780491","INSTITUT ARNAULT TZANCK",251,180,"060780715","CLINIQUE SAINT GEORGE"
"060780491","INSTITUT ARNAULT TZANCK",251,135,"060000510","CH D'ANTIBES JUAN LES PINS"
"060780491","INSTITUT ARNAULT TZANCK",228,52,"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD"
"060780491","INSTITUT ARNAULT TZANCK",184,26,"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS"
"060780590","CLINIQUE DU PALAIS",134,175,"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD"
"060780590","CLINIQUE DU PALAIS",134,112,"060000510","CH D'ANTIBES JUAN LES PINS"
"060780590","CLINIQUE DU PALAIS",134,82,"060000478","CH DE GRASSE"
"060780590","CLINIQUE DU PALAIS",134,58,"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS"
"060780590","CLINIQUE DU PALAIS",134,53,"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET"
"060780715","CLINIQUE SAINT GEORGE",179,353,"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET"
"060780715","CLINIQUE SAINT GEORGE",179,154,"060780491","INSTITUT ARNAULT TZANCK"
"060780715","CLINIQUE SAINT GEORGE",179,45,"060000510","CH D'ANTIBES JUAN LES PINS"
"060780715","CLINIQUE SAINT GEORGE",168,20,"830100459","CLINIQUE SAINT MICHEL"
"060780715","CLINIQUE SAINT GEORGE",161,17,"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS"
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET",530,283,"060780491","INSTITUT ARNAULT TZANCK"
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET",511,246,"060000510","CH D'ANTIBES JUAN LES PINS"
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET",543,219,"060780715","CLINIQUE SAINT GEORGE"
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET",456,204,"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD"
"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET",448,101,"060780590","CLINIQUE DU PALAIS"
"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS",66,341,"060789195","CHU DE NICE HÃ”PITAL DE L'ARCHET"
"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS",66,159,"060780715","CLINIQUE SAINT GEORGE"
"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS",66,131,"060021417","HÃ”PITAL PRIVÃ‰ CANNES OXFORD"
"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS",66,113,"060780491","INSTITUT ARNAULT TZANCK"
"060800166","HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS",66,95,"060000510","CH D'ANTIBES JUAN LES PINS"
"070780424","CLINIQUE PASTEUR",301,220,"260000260","CLINIQUE LA PARISIERE"
"070780424","CLINIQUE PASTEUR",315,77,"690780648","CLINIQUE DE LA SAUVEGARDE"
"070780424","CLINIQUE PASTEUR",201,71,"260003017","SA CLINIQUE KENNEDY"
"070780424","CLINIQUE PASTEUR",248,27,"690783154","HÃ”PITAL EDOUARD HERRIOT - HCL"
"070780424","CLINIQUE PASTEUR",215,20,"380785956","CLINIQUE DES CEDRES"
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI",326,338,"510024979","POLYCLINIQUE DE BEZANNES"
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI",301,125,"510002447","HÃ”PITAL ROBERT DEBRE CHU REIMS"
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI",223,36,"750100232","GHU APHP NUP SITE BICHAT C BERNARD"
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI",216,17,"590008041","POLYCLINIQUE VAUBAN"
"080010473","GCS TERRIT ARDEN NORD SITE CH CHARLEVI",219,8,"540002698","CHRU NANCY - HÃ”PITAUX DE BRABOIS"
"100000082","CLINIQUE PAYS DE SEINE",41,50,"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ"
"100000082","CLINIQUE PAYS DE SEINE",41,33,"890975550","CH SENS"
"100000082","CLINIQUE PAYS DE SEINE",41,14,"100000124","POLYCLINIQUE MONTIER LA CELLE"
"100000082","CLINIQUE PAYS DE SEINE",41,11,"890000169","CLINIQUE PAUL PICQUET SENS"
"100000082","CLINIQUE PAYS DE SEINE",12,7,"770019032","GHEF MARNE LA VALLEE SITE JOSSIGNY"
"100000124","POLYCLINIQUE MONTIER LA CELLE",245,89,"750300881","CLINIQUE DU TROCADERO"
"100000124","POLYCLINIQUE MONTIER LA CELLE",197,58,"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ"
"100000124","POLYCLINIQUE MONTIER LA CELLE",129,24,"890975550","CH SENS"
"100000124","POLYCLINIQUE MONTIER LA CELLE",121,23,"100000082","CLINIQUE PAYS DE SEINE"
"100000124","POLYCLINIQUE MONTIER LA CELLE",173,23,"890000169","CLINIQUE PAUL PICQUET SENS"
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ",83,82,"100000124","POLYCLINIQUE MONTIER LA CELLE"
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ",83,56,"890975550","CH SENS"
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ",83,50,"100000082","CLINIQUE PAYS DE SEINE"
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ",65,32,"750300881","CLINIQUE DU TROCADERO"
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ",83,21,"890000169","CLINIQUE PAUL PICQUET SENS"
"110000023","CH CARCASSONNE",381,83,"310781000","CLINIQUE DES CEDRES"
"110000023","CH CARCASSONNE",249,43,"110000056","CH NARBONNE"
"110000023","CH CARCASSONNE",240,17,"340015502","CLINIQUE LE MILLENAIRE"
"110000023","CH CARCASSONNE",253,10,"310783055","HÃ”PITAL DE RANGUEIL CHU TOULOUSE"
"110000023","CH CARCASSONNE",199,10,"340782036","HÃ”PITAL ST ELOI CHU MONTPELLIER"
"110000056","CH NARBONNE",103,36,"110000023","CH CARCASSONNE"
"110000056","CH NARBONNE",118,28,"340015965","SAS POLYCLINIQUE SAINT PRIVAT"
"110000056","CH NARBONNE",118,19,"340015502","CLINIQUE LE MILLENAIRE"
"110000056","CH NARBONNE",118,18,"340782036","HÃ”PITAL ST ELOI CHU MONTPELLIER"
"110000056","CH NARBONNE",118,15,"310781000","CLINIQUE DES CEDRES"
"130000409","CHIC SITE D'AIX EN PROVENCE",70,220,"130786361","POLYCLINIQUE DU PARC RAMBOT"
"130000409","CHIC SITE D'AIX EN PROVENCE",70,129,"130810740","CLINIQUE AXIUM"
"130000409","CHIC SITE D'AIX EN PROVENCE",70,23,"130783327","CLINIQUE BOUCHARD"
"130000409","CHIC SITE D'AIX EN PROVENCE",70,15,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130000409","CHIC SITE D'AIX EN PROVENCE",70,15,"130781479","CLINIQUE LA CASAMANCE"
"130001225","HÃ”PITAL DU PAYS SALONAIS",117,54,"130786361","POLYCLINIQUE DU PARC RAMBOT"
"130001225","HÃ”PITAL DU PAYS SALONAIS",117,31,"130782162","CLINIQUE DE MARTIGUES"
"130001225","HÃ”PITAL DU PAYS SALONAIS",117,16,"840000400","SYNERGIA LUBERON"
"130001225","HÃ”PITAL DU PAYS SALONAIS",117,13,"130810740","CLINIQUE AXIUM"
"130001225","HÃ”PITAL DU PAYS SALONAIS",105,6,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE",792,658,"130783327","CLINIQUE BOUCHARD"
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE",792,367,"130781479","CLINIQUE LA CASAMANCE"
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE",792,350,"130785652","HÃ”PITAL SAINT JOSEPH"
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE",780,328,"130783236","APHM HÃ”PITAL LA CONCEPTION"
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE",709,199,"130786361","POLYCLINIQUE DU PARC RAMBOT"
"130780521","APHM HÃ”PITAL NORD",107,268,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130780521","APHM HÃ”PITAL NORD",107,201,"130783327","CLINIQUE BOUCHARD"
"130780521","APHM HÃ”PITAL NORD",107,97,"130782162","CLINIQUE DE MARTIGUES"
"130780521","APHM HÃ”PITAL NORD",107,89,"130786361","POLYCLINIQUE DU PARC RAMBOT"
"130780521","APHM HÃ”PITAL NORD",107,74,"130783236","APHM HÃ”PITAL LA CONCEPTION"
"130781479","CLINIQUE LA CASAMANCE",400,395,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130781479","CLINIQUE LA CASAMANCE",412,379,"130783327","CLINIQUE BOUCHARD"
"130781479","CLINIQUE LA CASAMANCE",400,230,"130785652","HÃ”PITAL SAINT JOSEPH"
"130781479","CLINIQUE LA CASAMANCE",369,188,"130783236","APHM HÃ”PITAL LA CONCEPTION"
"130781479","CLINIQUE LA CASAMANCE",383,116,"130780521","APHM HÃ”PITAL NORD"
"130782162","CLINIQUE DE MARTIGUES",367,160,"130786361","POLYCLINIQUE DU PARC RAMBOT"
"130782162","CLINIQUE DE MARTIGUES",367,87,"130783327","CLINIQUE BOUCHARD"
"130782162","CLINIQUE DE MARTIGUES",379,85,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130782162","CLINIQUE DE MARTIGUES",354,50,"130780521","APHM HÃ”PITAL NORD"
"130782162","CLINIQUE DE MARTIGUES",274,43,"130810740","CLINIQUE AXIUM"
"130783236","APHM HÃ”PITAL LA CONCEPTION",263,511,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130783236","APHM HÃ”PITAL LA CONCEPTION",263,480,"130783327","CLINIQUE BOUCHARD"
"130783236","APHM HÃ”PITAL LA CONCEPTION",263,293,"130785652","HÃ”PITAL SAINT JOSEPH"
"130783236","APHM HÃ”PITAL LA CONCEPTION",263,203,"130781479","CLINIQUE LA CASAMANCE"
"130783236","APHM HÃ”PITAL LA CONCEPTION",263,116,"130780521","APHM HÃ”PITAL NORD"
"130783327","CLINIQUE BOUCHARD",653,734,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130783327","CLINIQUE BOUCHARD",670,338,"130785652","HÃ”PITAL SAINT JOSEPH"
"130783327","CLINIQUE BOUCHARD",575,327,"830100459","CLINIQUE SAINT MICHEL"
"130783327","CLINIQUE BOUCHARD",659,314,"130783236","APHM HÃ”PITAL LA CONCEPTION"
"130783327","CLINIQUE BOUCHARD",445,292,"130782162","CLINIQUE DE MARTIGUES"
"130784051","POLYCLINIQUE CLAIRVAL",39,68,"300788502","POLYCLINIQUE DU GRAND SUD"
"130784051","POLYCLINIQUE CLAIRVAL",39,62,"130783327","CLINIQUE BOUCHARD"
"130784051","POLYCLINIQUE CLAIRVAL",39,53,"130785652","HÃ”PITAL SAINT JOSEPH"
"130784051","POLYCLINIQUE CLAIRVAL",39,40,"300782117","CHU NIMES CAREMEAU"
"130784051","POLYCLINIQUE CLAIRVAL",39,32,"130783236","APHM HÃ”PITAL LA CONCEPTION"
"130785652","HÃ”PITAL SAINT JOSEPH",285,399,"130783327","CLINIQUE BOUCHARD"
"130785652","HÃ”PITAL SAINT JOSEPH",285,380,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130785652","HÃ”PITAL SAINT JOSEPH",285,262,"130781479","CLINIQUE LA CASAMANCE"
"130785652","HÃ”PITAL SAINT JOSEPH",285,220,"130783236","APHM HÃ”PITAL LA CONCEPTION"
"130785652","HÃ”PITAL SAINT JOSEPH",285,103,"130786742","HÃ”PITAL D'INSTRUCTION DES ARMÃ‰ES LAVERAN"
"130786361","POLYCLINIQUE DU PARC RAMBOT",600,454,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130786361","POLYCLINIQUE DU PARC RAMBOT",630,361,"130783327","CLINIQUE BOUCHARD"
"130786361","POLYCLINIQUE DU PARC RAMBOT",720,323,"130810740","CLINIQUE AXIUM"
"130786361","POLYCLINIQUE DU PARC RAMBOT",453,306,"130782162","CLINIQUE DE MARTIGUES"
"130786361","POLYCLINIQUE DU PARC RAMBOT",641,175,"130780521","APHM HÃ”PITAL NORD"
"130786742","HÃ”PITAL D'INSTRUCTION DES ARMÃ‰ES LAVERAN",86,290,"830100459","CLINIQUE SAINT MICHEL"
"130786742","HÃ”PITAL D'INSTRUCTION DES ARMÃ‰ES LAVERAN",75,184,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130786742","HÃ”PITAL D'INSTRUCTION DES ARMÃ‰ES LAVERAN",86,170,"130783327","CLINIQUE BOUCHARD"
"130786742","HÃ”PITAL D'INSTRUCTION DES ARMÃ‰ES LAVERAN",11,143,"830100434","CLINIQUE SAINT JEAN"
"130786742","HÃ”PITAL D'INSTRUCTION DES ARMÃ‰ES LAVERAN",63,91,"830000345","CHITS CH SAINTE MUSSE"
"130810740","CLINIQUE AXIUM",264,382,"130786361","POLYCLINIQUE DU PARC RAMBOT"
"130810740","CLINIQUE AXIUM",253,103,"130000409","CHIC SITE D'AIX EN PROVENCE"
"130810740","CLINIQUE AXIUM",218,66,"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE"
"130810740","CLINIQUE AXIUM",196,66,"130783327","CLINIQUE BOUCHARD"
"130810740","CLINIQUE AXIUM",119,61,"130782162","CLINIQUE DE MARTIGUES"
"140000209","CHU CAEN",280,210,"140016759","POLYCLINIQUE DU PARC"
"140000209","CHU CAEN",99,115,"500002357","POLYCLINIQUE DU COTENTIN"
"140000209","CHU CAEN",17,95,"500000187","CHPC - SITE CHERBOURG"
"140000209","CHU CAEN",280,70,"140017237","HÃ”PITAL PRIVÃ‰ ST MARTIN"
"140000209","CHU CAEN",219,40,"140018730","HÃ”PITAL PRIVÃ‰ DU PAYS D'AUGE SITE DE LISIEUX"
"140016759","POLYCLINIQUE DU PARC",271,251,"140000209","CHU CAEN"
"140016759","POLYCLINIQUE DU PARC",260,78,"140017237","HÃ”PITAL PRIVÃ‰ ST MARTIN"
"140016759","POLYCLINIQUE DU PARC",151,18,"140018730","HÃ”PITAL PRIVÃ‰ DU PAYS D'AUGE SITE DE LISIEUX"
"140016759","POLYCLINIQUE DU PARC",163,17,"610000069","CH D'ARGENTAN"
"140016759","POLYCLINIQUE DU PARC",74,17,"760021329","HÃ”PITAL PRIVÃ‰ DE L'ESTUAIRE"
"140017237","HÃ”PITAL PRIVÃ‰ ST MARTIN",36,107,"140000209","CHU CAEN"
"140017237","HÃ”PITAL PRIVÃ‰ ST MARTIN",36,82,"140016759","POLYCLINIQUE DU PARC"
"140017237","HÃ”PITAL PRIVÃ‰ ST MARTIN",24,16,"760021329","HÃ”PITAL PRIVÃ‰ DE L'ESTUAIRE"
"140017237","HÃ”PITAL PRIVÃ‰ ST MARTIN",24,5,"780300414","CH PRIVÃ‰ DE L EUROPE"
"140017237","HÃ”PITAL PRIVÃ‰ ST MARTIN",36,4,"140018730","HÃ”PITAL PRIVÃ‰ DU PAYS D'AUGE SITE DE LISIEUX"
"140018730","HÃ”PITAL PRIVÃ‰ DU PAYS D'AUGE SITE DE LISIEUX",32,33,"140000209","CHU CAEN"
"140018730","HÃ”PITAL PRIVÃ‰ DU PAYS D'AUGE SITE DE LISIEUX",32,19,"140016759","POLYCLINIQUE DU PARC"
"140018730","HÃ”PITAL PRIVÃ‰ DU PAYS D'AUGE SITE DE LISIEUX",32,5,"140017237","HÃ”PITAL PRIVÃ‰ ST MARTIN"
"140018730","HÃ”PITAL PRIVÃ‰ DU PAYS D'AUGE SITE DE LISIEUX",11,4,"610000069","CH D'ARGENTAN"
"140018730","HÃ”PITAL PRIVÃ‰ DU PAYS D'AUGE SITE DE LISIEUX",21,3,"760000158","HÃ”PITAL CHARLES NICOLLE CHU ROUEN"
"160000253","CH D'ANGOULEME",41,34,"160013207","CENTRE CLINICAL"
"160000253","CH D'ANGOULEME",41,5,"860000223","CHU LA MILETRIE"
"160000253","CH D'ANGOULEME",41,3,"870000288","CLINIQUE FRANÃ‡OIS CHENIEUX"
"160000253","CH D'ANGOULEME",41,2,"330780479","POLYCLINIQUE BX-NORD AQUITAINE"
"160000253","CH D'ANGOULEME",41,2,"330781402","NOUVELLE CLINIQUE BORDEAUX TONDU"
"160013207","CENTRE CLINICAL",157,91,"160000253","CH D'ANGOULEME"
"160013207","CENTRE CLINICAL",144,26,"860000223","CHU LA MILETRIE"
"160013207","CENTRE CLINICAL",63,13,"170000095","CH ST JEAN D'ANGELY"
"160013207","CENTRE CLINICAL",118,13,"870000288","CLINIQUE FRANÃ‡OIS CHENIEUX"
"160013207","CENTRE CLINICAL",94,6,"330781402","NOUVELLE CLINIQUE BORDEAUX TONDU"
"170000095","CH ST JEAN D'ANGELY",64,23,"170000152","CH ROCHEFORT"
"170000095","CH ST JEAN D'ANGELY",64,14,"170780563","Ã‰TABLISSEMENT DE SOINS PASTEUR - ROYAN"
"170000095","CH ST JEAN D'ANGELY",64,11,"860000223","CHU LA MILETRIE"
"170000095","CH ST JEAN D'ANGELY",64,3,"330781402","NOUVELLE CLINIQUE BORDEAUX TONDU"
"170000095","CH ST JEAN D'ANGELY",19,2,"170780662","CLINIQUE DE L'ATLANTIQUE"
"170000152","CH ROCHEFORT",322,89,"170780662","CLINIQUE DE L'ATLANTIQUE"
"170000152","CH ROCHEFORT",303,74,"170780563","Ã‰TABLISSEMENT DE SOINS PASTEUR - ROYAN"
"170000152","CH ROCHEFORT",282,44,"170000095","CH ST JEAN D'ANGELY"
"170000152","CH ROCHEFORT",309,24,"860000223","CHU LA MILETRIE"
"170000152","CH ROCHEFORT",87,7,"790009948","POLYCLINIQUE INKERMANN"
"170780563","Ã‰TABLISSEMENT DE SOINS PASTEUR - ROYAN",104,38,"170000152","CH ROCHEFORT"
"170780563","Ã‰TABLISSEMENT DE SOINS PASTEUR - ROYAN",92,19,"170000095","CH ST JEAN D'ANGELY"
"170780563","Ã‰TABLISSEMENT DE SOINS PASTEUR - ROYAN",50,4,"860000223","CHU LA MILETRIE"
"170780563","Ã‰TABLISSEMENT DE SOINS PASTEUR - ROYAN",50,3,"170780662","CLINIQUE DE L'ATLANTIQUE"
"170780563","Ã‰TABLISSEMENT DE SOINS PASTEUR - ROYAN",50,3,"330781402","NOUVELLE CLINIQUE BORDEAUX TONDU"
"170780662","CLINIQUE DE L'ATLANTIQUE",58,79,"170000152","CH ROCHEFORT"
"170780662","CLINIQUE DE L'ATLANTIQUE",46,4,"860000223","CHU LA MILETRIE"
"170780662","CLINIQUE DE L'ATLANTIQUE",35,2,"170000095","CH ST JEAN D'ANGELY"
"170780662","CLINIQUE DE L'ATLANTIQUE",35,1,"170780563","Ã‰TABLISSEMENT DE SOINS PASTEUR - ROYAN"
"170780662","CLINIQUE DE L'ATLANTIQUE",35,1,"330780529","CLINIQUE MUTUALISTE DE PESSAC"
"180004145","HÃ”PITAL PRIVÃ‰ GUILLAUME DE VARYE",36,11,"450002613","CHRU ORLEANS - HÃ”PITAL DE LA SOURCE"
"180004145","HÃ”PITAL PRIVÃ‰ GUILLAUME DE VARYE",36,4,"360000129","CLINIQUE ST FRANCOIS"
"180004145","HÃ”PITAL PRIVÃ‰ GUILLAUME DE VARYE",56,4,"370000093","SAS NOUVELLE CLINIQUE DE TOURS +"
"180004145","HÃ”PITAL PRIVÃ‰ GUILLAUME DE VARYE",38,4,"890000169","CLINIQUE PAUL PICQUET SENS"
"180004145","HÃ”PITAL PRIVÃ‰ GUILLAUME DE VARYE",56,3,"910803543","HÃ”PITAL PRIVÃ‰ CLAUDE GALIEN"
"190013482","CH BRIVE - SAINT GERMAIN",31,16,"870000288","CLINIQUE FRANÃ‡OIS CHENIEUX"
"190013482","CH BRIVE - SAINT GERMAIN",31,2,"310781000","CLINIQUE DES CEDRES"
"190013482","CH BRIVE - SAINT GERMAIN",31,1,"310783055","HÃ”PITAL DE RANGUEIL CHU TOULOUSE"
"190013482","CH BRIVE - SAINT GERMAIN",31,1,"330781402","NOUVELLE CLINIQUE BORDEAUX TONDU"
"190013482","CH BRIVE - SAINT GERMAIN",31,1,"690023239","CLINIQUE DU PARC"
