"finessGeoDP","rs","lib_reg","statut","TOT","TOT_rev","PCT_rev"
"100000124","POLYCLINIQUE MONTIER LA CELLE","GRAND EST","private for profit",80,7,8.8
"100010818","GCS HÃ”PITAL PRIVÃ‰ DE L'AUBE SITE CLQ","GRAND EST","private not-for-profit",38,7,18.4
"110000023","CH CARCASSONNE","OCCITANIE","public",126,17,13.5
"110000056","CH NARBONNE","OCCITANIE","public",34,7,20.6
"130000409","CHIC SITE D'AIX EN PROVENCE","PROVENCE-ALPES-CÃ”TE D'AZUR","public",40,2,5
"130001225","HÃ”PITAL DU PAYS SALONAIS","PROVENCE-ALPES-CÃ”TE D'AZUR","public",49,11,22.4
"130043664","HÃ”PITAL EUROPEEN DESBIEF AMBROISE PARE","PROVENCE-ALPES-CÃ”TE D'AZUR","private not-for-profit",242,33,13.6
"130780521","APHM HÃ”PITAL NORD","PROVENCE-ALPES-CÃ”TE D'AZUR","public academic",100,11,11
"130781479","CLINIQUE LA CASAMANCE","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",145,24,16.6
"130782162","CLINIQUE DE MARTIGUES","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",105,19,18.1
"130783236","APHM HÃ”PITAL LA CONCEPTION","PROVENCE-ALPES-CÃ”TE D'AZUR","public academic",29,5,17.2
"130783327","CLINIQUE BOUCHARD","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",270,38,14.1
"130785652","HÃ”PITAL SAINT JOSEPH","PROVENCE-ALPES-CÃ”TE D'AZUR","private not-for-profit",99,15,15.2
"130786361","POLYCLINIQUE DU PARC RAMBOT","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",271,31,11.4
"130786742","HÃ”PITAL D'INSTRUCTION DES ARMÃ‰ES LAVERAN","PROVENCE-ALPES-CÃ”TE D'AZUR","public",42,9,21.4
"130810740","CLINIQUE AXIUM","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",121,24,19.8
"140000209","CHU CAEN","NORMANDIE","public academic",91,11,12.1
"140016759","POLYCLINIQUE DU PARC","NORMANDIE","private for profit",94,13,13.8
"140017237","HÃ”PITAL PRIVÃ‰ ST MARTIN","NORMANDIE","private for profit",64,6,9.4
"140018730","HÃ”PITAL PRIVÃ‰ DU PAYS D'AUGE SITE DE LISIEUX","NORMANDIE","private for profit",47,8,17
"160000253","CH D'ANGOULEME","NOUVELLE-AQUITAINE","public",44,6,13.6
"160013207","CENTRE CLINICAL","NOUVELLE-AQUITAINE","private for profit",87,3,3.4
"170000095","CH ST JEAN D'ANGELY","NOUVELLE-AQUITAINE","public",23,2,8.7
"170000152","CH ROCHEFORT","NOUVELLE-AQUITAINE","public",94,16,17
"170780563","Ã‰TABLISSEMENT DE SOINS PASTEUR - ROYAN","NOUVELLE-AQUITAINE","private for profit",59,6,10.2
"170780662","CLINIQUE DE L'ATLANTIQUE","NOUVELLE-AQUITAINE","private for profit",38,4,10.5
"180004145","HÃ”PITAL PRIVÃ‰ GUILLAUME DE VARYE","CENTRE-VAL DE LOIRE","private for profit",38,5,13.2
"190013482","CH BRIVE - SAINT GERMAIN","NOUVELLE-AQUITAINE","public",25,1,4
"210012670","HÃ”PITAL PRIVÃ‰ DIJON BOURGOGNE","BOURGOGNE-FRANCHE-COMTÃ‰","private for profit",204,41,20.1
"210780789","CLINIQUE MUTUALISTE BENIGNE JOLY","BOURGOGNE-FRANCHE-COMTÃ‰","private for profit",102,16,15.7
"210987558","HÃ”PITAL LE BOCAGE CHRU DIJON","BOURGOGNE-FRANCHE-COMTÃ‰","public academic",39,16,41
"220000012","CH YVES LE FOLL","BRETAGNE","public",29,5,17.2
"220005599","POLYCLINIQUE DU PAYS DE RANCE","BRETAGNE","private for profit",30,1,3.3
"220022800","HÃ”PITAL PRIVÃ‰ DES COTES D'ARMOR","BRETAGNE","private for profit",83,9,10.8
"250011848","POLYCLINIQUE DE FRANCHE COMTE","BOURGOGNE-FRANCHE-COMTÃ‰","private for profit",202,13,6.4
"260000260","CLINIQUE LA PARISIERE","AUVERGNE-RHÃ”NE-ALPES","private for profit",84,7,8.3
"260003017","SA CLINIQUE KENNEDY","AUVERGNE-RHÃ”NE-ALPES","private for profit",78,3,3.8
"280000084","CH DREUX","CENTRE-VAL DE LOIRE","public",30,1,3.3
"280504267","CH CHARTRES LOUIS PASTEUR-LE COUDRAY","CENTRE-VAL DE LOIRE","public",46,2,4.3
"280505777","HÃ”PITAL PRIVÃ‰ D'EURE ET LOIR","CENTRE-VAL DE LOIRE","private for profit",71,2,2.8
"290000025","CHIC QUIMPER","BRETAGNE","public",29,10,34.5
"290004324","CHRU BREST SITE HÃ”PITAL CAVALE BLANCHE","BRETAGNE","public academic",65,9,13.8
"290019777","POLYCLINIQUE DE KERAUDREN","BRETAGNE","private for profit",75,5,6.7
"290036540","CLINIQUE MUTUALISTE BRETAGNE OCCIDENTALE","BRETAGNE","private for profit",39,6,15.4
"2A0000139","HÃ”PITAL PRIVÃ‰ SUD CORSE","CORSE","private for profit",10,0,0
"2B0000145","POLYCLINIQUE LA RESIDENCE MAYMARD","CORSE","private for profit",70,11,15.7
"300000023","CH ALES CEVENNES","OCCITANIE","public",41,5,12.2
"300780137","NOUVELLE CLINIQUE BONNEFON","OCCITANIE","private for profit",39,7,17.9
"300782117","CHU NIMES CAREMEAU","OCCITANIE","public academic",175,24,13.7
"300788502","POLYCLINIQUE DU GRAND SUD","OCCITANIE","private for profit",119,19,16
"310026927","CLINIQUE CAPIO LA CROIX DU SUD","OCCITANIE","private for profit",64,9,14.1
"310780283","NOUVELLE CLINIQUE DE L'UNION","OCCITANIE","private for profit",87,18,20.7
"310780382","CLINIQUE AMBROISE PARE","OCCITANIE","private for profit",46,7,15.2
"310781000","CLINIQUE DES CEDRES","OCCITANIE","private for profit",395,55,13.9
"310781505","CLINIQUE D'OCCITANIE","OCCITANIE","private for profit",163,25,15.3
"310783055","HÃ”PITAL DE RANGUEIL CHU TOULOUSE","OCCITANIE","public academic",111,12,10.8
"330000340","MSP BORDEAUX BAGATELLE","NOUVELLE-AQUITAINE","private not-for-profit",61,10,16.4
"330780115","CLINIQUE TIVOLI-DUCOS","NOUVELLE-AQUITAINE","private for profit",41,5,12.2
"330780263","POLYCLINIQUE BORDEAUX RIVE DROITE","NOUVELLE-AQUITAINE","private for profit",73,0,0
"330780479","POLYCLINIQUE BX-NORD AQUITAINE","NOUVELLE-AQUITAINE","private for profit",79,10,12.7
"330780511","CLINIQUE SAINTE ANNE","NOUVELLE-AQUITAINE","private for profit",32,0,0
"330780529","CLINIQUE MUTUALISTE DE PESSAC","NOUVELLE-AQUITAINE","private not-for-profit",240,40,16.7
"330781402","NOUVELLE CLINIQUE BORDEAUX TONDU","NOUVELLE-AQUITAINE","private for profit",238,11,4.6
"330782582","POLYCLINIQUE JEAN VILLAR","NOUVELLE-AQUITAINE","private for profit",45,7,15.6
"330783648","HÃ”PITAL HAUT-LEVEQUE - CHU","NOUVELLE-AQUITAINE","public academic",73,19,26
"340000033","CH BEZIERS","OCCITANIE","public",84,11,13.1
"340009885","POLYCLINIQUE CHAMPEAU","OCCITANIE","private for profit",52,8,15.4
"340015502","CLINIQUE LE MILLENAIRE","OCCITANIE","private for profit",180,29,16.1
"340015965","SAS POLYCLINIQUE SAINT PRIVAT","OCCITANIE","private for profit",128,13,10.2
"340024314","CLINIQUE ST JEAN SUD DE FRANCE","OCCITANIE","private for profit",28,2,7.1
"340780667","CLINIQUE DU PARC","OCCITANIE","private for profit",66,4,6.1
"340780675","CLINIQUE CLEMENTVILLE","OCCITANIE","private for profit",83,8,9.6
"340780741","POLYCLINIQUE SAINTE THERESE","OCCITANIE","private for profit",79,15,19
"340782036","HÃ”PITAL ST ELOI CHU MONTPELLIER","OCCITANIE","public academic",241,57,23.7
"350000121","CH PRIVÃ‰ ST-GREGOIRE","BRETAGNE","private for profit",287,24,8.4
"350000139","CLINIQUE MUTUALISTE LA SAGESSE RENNES","BRETAGNE","private not-for-profit",76,2,2.6
"350000147","GHRE - SITE SAINT MALO BROUSSAIS","BRETAGNE","public",45,5,11.1
"350000741","CHRU RENNES SITE PONTCHAILLOU","BRETAGNE","public academic",13,0,0
"360000129","CLINIQUE ST FRANCOIS","CENTRE-VAL DE LOIRE","private for profit",81,2,2.5
"370000093","SAS NOUVELLE CLINIQUE DE TOURS +","CENTRE-VAL DE LOIRE","private for profit",128,19,14.8
"370004467","CHRU TROUSSEAU - CHAMBRAY","CENTRE-VAL DE LOIRE","public academic",42,2,4.8
"370007569","PÃ”LE SANTÃ‰ LÃ‰ONARD DE VINCI","CENTRE-VAL DE LOIRE","private for profit",22,0,0
"380000067","HÃ”PITAL NORD - CHU38","AUVERGNE-RHÃ”NE-ALPES","public academic",107,15,14
"380000174","CH LUCIEN HUSSEL DE VIENNE","AUVERGNE-RHÃ”NE-ALPES","public",65,6,9.2
"380012658","GROUPEMENT HOSPITALIER MUTUALISTE DE GRENOBLE","AUVERGNE-RHÃ”NE-ALPES","private not-for-profit",40,3,7.5
"380780197","CLINIQUE SAINT VINCENT DE PAUL","AUVERGNE-RHÃ”NE-ALPES","private for profit",88,8,9.1
"380785956","CLINIQUE DES CEDRES","AUVERGNE-RHÃ”NE-ALPES","private for profit",197,20,10.2
"400000105","CH DAX","NOUVELLE-AQUITAINE","public",104,15,14.4
"410000020","CH BLOIS SIMONE VEIL","CENTRE-VAL DE LOIRE","public",45,10,22.2
"420010050","CLINIQUE MUTUALISTE DE LA LOIRE","AUVERGNE-RHÃ”NE-ALPES","private not-for-profit",238,38,16
"420011413","HÃ”PITAL PRIVÃ‰ DE LA LOIRE","AUVERGNE-RHÃ”NE-ALPES","private for profit",179,28,15.6
"420785354","HÃ”PITAL NORD - CHU42","AUVERGNE-RHÃ”NE-ALPES","public academic",75,11,14.7
"430000117","CH EMILE ROUX LE PUY","AUVERGNE-RHÃ”NE-ALPES","public",35,5,14.3
"440000271","CHU DE NANTES SITE HOTEL DIEU HME","PAYS DE LA LOIRE","public academic",121,17,14
"440000412","CLINIQUE BRETECHE VIAUD","PAYS DE LA LOIRE","private for profit",154,3,1.9
"440029338","CLINIQUE MUTUALISTE JULES VERNE","PAYS DE LA LOIRE","private not-for-profit",120,18,15
"440033819","SANTÃ‰ ATLANTIQUE","PAYS DE LA LOIRE","private for profit",132,3,2.3
"440050433","CLINIQUE MUTUALISTE DE L'ESTUAIRE","PAYS DE LA LOIRE","private not-for-profit",87,5,5.7
"450002613","CHRU ORLEANS - HÃ”PITAL DE LA SOURCE","CENTRE-VAL DE LOIRE","public academic",149,24,16.1
"450010079","ORELIANCE - LONGUES ALLEES","CENTRE-VAL DE LOIRE","private for profit",28,1,3.6
"460000045","CH FIGEAC SITE MARTIN MALVY","OCCITANIE","public",37,2,5.4
"470000027","CLINIQUE ESQUIROL - SAINT-HILAIRE","NOUVELLE-AQUITAINE","private for profit",78,6,7.7
"470000423","CH AGEN NERAC - HÃ”PITAL SAINT-ESPRIT","NOUVELLE-AQUITAINE","public",28,2,7.1
"470016049","GCS POLE DE SANTÃ‰ DU VILLENEUVOIS","NOUVELLE-AQUITAINE","private not-for-profit",79,4,5.1
"490000049","CHU ANGERS SITE LARREY","PAYS DE LA LOIRE","public academic",42,2,4.8
"490014909","CLINIQUE DE L'ANJOU","PAYS DE LA LOIRE","private for profit",331,16,4.8
"500000146","HÃ”PITAL PRIVÃ‰ DE LA BAIE","NORMANDIE","private for profit",70,8,11.4
"500000187","CHPC - SITE CHERBOURG","NORMANDIE","public",33,4,12.1
"500000450","CH SAINT-LO","NORMANDIE","public",55,2,3.6
"500002357","POLYCLINIQUE DU COTENTIN","NORMANDIE","private for profit",58,1,1.7
"510002447","HÃ”PITAL ROBERT DEBRE CHU REIMS","GRAND EST","public academic",88,15,17
"510024979","POLYCLINIQUE DE BEZANNES","GRAND EST","private for profit",195,37,19
"540000478","NOUVELLE CLINIQUE LOUIS PASTEUR","GRAND EST","private for profit",84,2,2.4
"540001096","CH DE MT ST MARTIN","GRAND EST","private not-for-profit",74,5,6.8
"540002698","CHRU NANCY - HÃ”PITAUX DE BRABOIS","GRAND EST","public academic",241,34,14.1
"540026895","HÃ”PITAL PRIVÃ‰ NANCY LORRAINE","GRAND EST","private for profit",119,6,5
"550000178","POLYCLINIQUE DU PARC - BAR-LE-DUC","GRAND EST","private for profit",10,1,10
"560000127","CHBA SITE DE VANNES","BRETAGNE","public",42,5,11.9
"560000135","GHBS- HÃ”PITAL DU SCORFF","BRETAGNE","public",40,8,20
"560000143","CHCB SITE KERIO","BRETAGNE","public",46,6,13
"560008799","CLINIQUE OCEANE","BRETAGNE","private for profit",86,9,10.5
"560029068","GCS CLINIQUE DU TER","BRETAGNE","private not-for-profit",22,4,18.2
"570000059","CH MARIE-MADELEINE DE FORBACH","GRAND EST","public",59,15,25.4
"570000083","CLINIQUE SAINT NABOR","GRAND EST","private for profit",95,6,6.3
"570000349","HÃ”PITAL BEL AIR DE THIONVILLE - CHR","GRAND EST","public academic",35,5,14.3
"570000356","CLINIQUE CHIRURGICALE AMBROISE PARE","GRAND EST","private for profit",30,1,3.3
"570000646","HÃ”PITAL CLINIQUE CLAUDE BERNARD","GRAND EST","private for profit",71,9,12.7
"570026252","HÃ”PITAL ROBERT SCHUMAN","GRAND EST","private not-for-profit",62,7,11.3
"570026682","HÃ”PITAL DE MERCY - CHR METZ THIONVILLE","GRAND EST","public academic",37,10,27
"590000337","CH DUNKERQUE","HAUTS-DE-FRANCE","public",57,7,12.3
"590000428","CH CAMBRAI","HAUTS-DE-FRANCE","public",63,13,20.6
"590000592","CH DENAIN","HAUTS-DE-FRANCE","public",49,10,20.4
"590000618","CH VALENCIENNES","HAUTS-DE-FRANCE","public",92,11,12
"590006896","POLYCLINIQUE DE LA THIERACHE","HAUTS-DE-FRANCE","private for profit",34,4,11.8
"590008041","POLYCLINIQUE VAUBAN","HAUTS-DE-FRANCE","private for profit",328,51,15.5
"590052056","GCS GHICL CLINIQUE STE MARIE","HAUTS-DE-FRANCE","private not-for-profit",107,16,15
"590780268","POLYCLINIQUE DU BOIS","HAUTS-DE-FRANCE","private for profit",66,9,13.6
"590780284","GCS GHICL HÃ”PITAL ST PHILIBERT","HAUTS-DE-FRANCE","private not-for-profit",133,29,21.8
"590780383","POLYCLINIQUE DE LA LOUVIERE","HAUTS-DE-FRANCE","private for profit",347,63,18.2
"590801106","HÃ”PITAL VICTOR PROVO","HAUTS-DE-FRANCE","public",35,0,0
"590811279","HÃ”PITAL CLAUDE HURIEZ CHU LILLE","HAUTS-DE-FRANCE","public academic",201,70,34.8
"590813507","POLYCLINIQUE VAL DE SAMBRE","HAUTS-DE-FRANCE","private for profit",55,4,7.3
"590815056","CLINIQUE DE FLANDRE","HAUTS-DE-FRANCE","private for profit",133,19,14.3
"590816310","CLINIQUE ST AME","HAUTS-DE-FRANCE","private for profit",81,17,21
"590817458","CLINIQUE DE LA VICTOIRE","HAUTS-DE-FRANCE","private for profit",40,7,17.5
"600000467","CH GHPSO CREIL","HAUTS-DE-FRANCE","public",81,13,16
"600010862","SAS CENTRE CHIRURGICAL DE CHANTILLY","HAUTS-DE-FRANCE","private for profit",15,2,13.3
"600100754","POLYCLINIQUE SAINT-COME SA","HAUTS-DE-FRANCE","private for profit",167,11,6.6
"600110175","CLINIQUE DU PARC SAINT LAZARE","HAUTS-DE-FRANCE","private for profit",96,6,6.2
"600113476","CH CHICN COMPIÃˆGNE","HAUTS-DE-FRANCE","public",102,26,25.5
"610000069","CH D'ARGENTAN","NORMANDIE","public",73,9,12.3
"610000119","CH JACQUES MONOD - FLERS","NORMANDIE","public",39,9,23.1
"620000224","CH BETHUNE","HAUTS-DE-FRANCE","public",47,0,0
"620000653","CH BOULOGNE-SUR-MER","HAUTS-DE-FRANCE","public",57,11,19.3
"620003202","CH ARRONDISSEMENT DE MONTREUIL","HAUTS-DE-FRANCE","public",41,10,24.4
"620003376","POLYCLINIQUE MÃ‰DICO-CHIRURGICALE D'HENIN-BEAUMONT","HAUTS-DE-FRANCE","private not-for-profit",73,10,13.7
"620006049","CLINIQUE DE ST OMER","HAUTS-DE-FRANCE","private for profit",52,8,15.4
"620100099","HÃ”PITAL PRIVÃ‰ ARRAS LES BONNETTES","HAUTS-DE-FRANCE","private for profit",49,9,18.4
"620100750","CLINIQUE AMBROISE PARE","HAUTS-DE-FRANCE","private for profit",144,30,20.8
"620101311","CLINIQUE DES 2 CAPS","HAUTS-DE-FRANCE","private for profit",47,9,19.1
"620101501","POLYCLINIQUE DE BOIS-BERNARD SA","HAUTS-DE-FRANCE","private for profit",56,3,5.4
"620118513","CENTRE MÃ‰DICO CHIRURGICAL ET OBSTÃ‰TRICAL COTE D'OPALE","HAUTS-DE-FRANCE","private for profit",52,6,11.5
"630780211","POLE SANTÃ‰ REPUBLIQUE - CLERMONT","AUVERGNE-RHÃ”NE-ALPES","private for profit",144,26,18.1
"630781268","HÃ”PITAL ESTAING - CHU63","AUVERGNE-RHÃ”NE-ALPES","public academic",37,7,18.9
"630781839","CLINIQUE CHATAIGNERAIE - BEAUMONT","AUVERGNE-RHÃ”NE-ALPES","private for profit",39,2,5.1
"640000162","CH COTE BASQUE","NOUVELLE-AQUITAINE","public",59,7,11.9
"640000600","CH DE PAU","NOUVELLE-AQUITAINE","public",33,5,15.2
"640018206","CLINIQUE BELHARRA","NOUVELLE-AQUITAINE","private for profit",83,9,10.8
"640780946","POLYCLINIQUE PAU PYRENEES SITE NAVARRE","NOUVELLE-AQUITAINE","private for profit",156,24,15.4
"660000084","CH PERPIGNAN","OCCITANIE","public",30,8,26.7
"660006305","LA CLINIQUE MUTUALISTE CATALANE","OCCITANIE","private for profit",48,5,10.4
"660780669","CLINIQUE NOTRE DAME D ESPERANCE","OCCITANIE","private for profit",112,13,11.6
"660780784","CLINIQUE SAINT PIERRE","OCCITANIE","private for profit",33,10,30.3
"670000025","HÃ”PITAL CIVIL / NOUVEL HÃ”PITAL CIVIL","GRAND EST","public academic",195,64,32.8
"670000165","CH SAINTE-CATHERINE DE SAVERNE","GRAND EST","public",49,7,14.3
"670018068","CLINIQUE RHENA GCS","GRAND EST","private for profit",269,10,3.7
"670780170","CLINIQUE DE L'ORANGERIE STRASB.","GRAND EST","private for profit",157,17,10.8
"670780212","CLINIQUE SAINTE-ANNE - GHSV","GRAND EST","private not-for-profit",86,5,5.8
"670780378","CLINIQUE SAINT-FRANCOIS HAGUENAU","GRAND EST","private for profit",54,5,9.3
"670780386","CLINIQUE SAINTE ODILE HAGUENAU","GRAND EST","private for profit",10,3,30
"670783273","HÃ”PITAL DE HAUTEPIERRE","GRAND EST","public academic",5,0,0
"680000494","CLINIQUE DIACONAT ROOSEVELT","GRAND EST","private for profit",233,18,7.7
"680000684","HÃ”PITAL LOUIS PASTEUR","GRAND EST","public",202,13,6.4
"680004546","HÃ”PITAL EMILE MULLER","GRAND EST","public",54,5,9.3
"690000575","CH NORD OUEST - VILLEFRANCHE","AUVERGNE-RHÃ”NE-ALPES","public",56,9,16.1
"690022959","HÃ”PITAL PRIVÃ‰ MERE ENFANT NATECIA","AUVERGNE-RHÃ”NE-ALPES","private for profit",55,12,21.8
"690023239","CLINIQUE DU PARC","AUVERGNE-RHÃ”NE-ALPES","private for profit",322,60,18.6
"690023411","HÃ”PITAL PRIVÃ‰ JEAN MERMOZ","AUVERGNE-RHÃ”NE-ALPES","private for profit",65,12,18.5
"690041124","MEDIPOLE HÃ”PITAL PRIVÃ‰","AUVERGNE-RHÃ”NE-ALPES","private for profit",71,15,21.1
"690054713","CLINIQUE LES PORTES DU SUD","AUVERGNE-RHÃ”NE-ALPES","private for profit",49,7,14.3
"690780390","POLYCLINIQUE DE RILLIEUX","AUVERGNE-RHÃ”NE-ALPES","private for profit",20,5,25
"690780648","CLINIQUE DE LA SAUVEGARDE","AUVERGNE-RHÃ”NE-ALPES","private for profit",616,190,30.8
"690780655","HÃ”PITAL PRIVÃ‰ DE L'EST LYONNAIS","AUVERGNE-RHÃ”NE-ALPES","private for profit",242,45,18.6
"690783154","HÃ”PITAL EDOUARD HERRIOT - HCL","AUVERGNE-RHÃ”NE-ALPES","public academic",110,28,25.5
"690793468","INFIRMERIE PROTESTANTE DE LYON","AUVERGNE-RHÃ”NE-ALPES","private for profit",89,16,18
"690805361","CH ST JOSEPH ST LUC","AUVERGNE-RHÃ”NE-ALPES","private not-for-profit",55,6,10.9
"690807367","POLYCLINIQUE DU BEAUJOLAIS","AUVERGNE-RHÃ”NE-ALPES","private for profit",52,7,13.5
"710006859","POLYCLINIQUE DU VAL DE SAONE","BOURGOGNE-FRANCHE-COMTÃ‰","private for profit",12,0,0
"710010067","CH DU PAYS CHAROLAIS BRIONNAIS","BOURGOGNE-FRANCHE-COMTÃ‰","public",39,3,7.7
"710780917","HÃ”PITAL PRIVÃ‰ SAINTE MARIE","BOURGOGNE-FRANCHE-COMTÃ‰","private for profit",78,30,38.5
"710978263","CH WILLIAM MOREY CHALON SUR SAONE","BOURGOGNE-FRANCHE-COMTÃ‰","public",53,9,17
"710978289","CH LES CHANAUX MACON","BOURGOGNE-FRANCHE-COMTÃ‰","public",73,10,13.7
"720000199","CLINIQUE DU PRE","PAYS DE LA LOIRE","private for profit",67,1,1.5
"720017748","CENTRE MÃ‰DICO-CHIRURGICAL DU MANS","PAYS DE LA LOIRE","private for profit",40,5,12.5
"730000031","CHMS - SITE CHAMBERY MCO","AUVERGNE-RHÃ”NE-ALPES","public",67,15,22.4
"730004298","HÃ”PITAL PRIVÃ‰ MEDIPOLE DE SAVOIE","AUVERGNE-RHÃ”NE-ALPES","private for profit",19,2,10.5
"740014345","HÃ”PITAL PRIVÃ‰ PAYS DE SAVOIE","AUVERGNE-RHÃ”NE-ALPES","private for profit",72,13,18.1
"740780424","CLINIQUE GENERALE ANNECY","AUVERGNE-RHÃ”NE-ALPES","private for profit",86,5,5.8
"740781141","CH ALPES LEMAN","AUVERGNE-RHÃ”NE-ALPES","public",159,30,18.9
"750000523","GROUPEMENT HOSPITALIER PARIS SAINT-JOSEPH","ILE-DE-FRANCE","private not-for-profit",38,5,13.2
"750100125","GROUPEMENT HOSPITALIER PITIE-SALPETRIERE","ILE-DE-FRANCE","public academic",97,21,21.6
"750100232","GHU APHP NUP SITE BICHAT C BERNARD","ILE-DE-FRANCE","public academic",191,29,15.2
"750150104","INSTITUT MUTUALISTE MONTSOURIS","ILE-DE-FRANCE","private not-for-profit",32,2,6.2
"750150237","HÃ”PITAL DE LA CROIX SAINT SIMON","ILE-DE-FRANCE","private not-for-profit",104,17,16.3
"750300071","HÃ”PITAL PRIVÃ‰ GEOFFROY SAINT HILAIRE","ILE-DE-FRANCE","private for profit",207,25,12.1
"750300154","CLINIQUE TURIN","ILE-DE-FRANCE","private for profit",120,12,10
"750300360","HÃ”PITAL PRIVÃ‰ DES PEUPLIERS","ILE-DE-FRANCE","private for profit",152,18,11.8
"750300766","CLINIQUE BIZET","ILE-DE-FRANCE","private for profit",184,8,4.3
"750300881","CLINIQUE DU TROCADERO","ILE-DE-FRANCE","private for profit",5,0,0
"750300915","CLINIQUE INTERNATIONALE PARC MONCEAU","ILE-DE-FRANCE","private for profit",70,8,11.4
"750301145","CLINIQUE DU MONT LOUIS","ILE-DE-FRANCE","private for profit",162,10,6.2
"750803447","GHU APHP CUP SITE G POMPIDOU HEGP","ILE-DE-FRANCE","public academic",102,18,17.6
"760000018","CH DIEPPE","NORMANDIE","public",46,8,17.4
"760000158","HÃ”PITAL CHARLES NICOLLE CHU ROUEN","NORMANDIE","public academic",90,18,20
"760000463","CH LES FEUGRAIS CHI ELBEUF","NORMANDIE","public",67,7,10.4
"760021329","HÃ”PITAL PRIVÃ‰ DE L'ESTUAIRE","NORMANDIE","private for profit",219,22,10
"760025312","HÃ”PITAUX PRIVÃ‰S ROUENNAIS MATHILDE","NORMANDIE","private for profit",73,5,6.8
"760027292","POLYCLINIQUE MEGIVAL","NORMANDIE","private for profit",44,8,18.2
"760780510","CLINIQUE DU CEDRE","NORMANDIE","private for profit",50,7,14
"760780619","CLINIQUE SAINT HILAIRE","NORMANDIE","private for profit",70,7,10
"760805770","HÃ”PITAL JACQUES MONOD CH LE HAVRE","NORMANDIE","public",31,4,12.9
"760921809","HÃ”PITAUX PRIVÃ‰S ROUENNAIS L'EUROPE","NORMANDIE","private for profit",183,25,13.7
"770000156","GHSIF SITE MELUN-SENART","ILE-DE-FRANCE","public",16,6,37.5
"770000164","CH SUD SEINE ET MARNE SITE MONTEREAU","ILE-DE-FRANCE","public",28,2,7.1
"770000446","CH DE MEAUX SITE SAINT FARON","ILE-DE-FRANCE","public",56,9,16.1
"770019032","GHEF MARNE LA VALLEE SITE JOSSIGNY","ILE-DE-FRANCE","public",69,8,11.6
"770300135","CLINIQUE MÃ‰DICO-CHIRURGICALE LES FONTAINES","ILE-DE-FRANCE","private for profit",67,4,6
"770300143","CLINIQUE SAINT JEAN L ERMITAGE","ILE-DE-FRANCE","private for profit",87,13,14.9
"780000287","CH FRANCOIS QUESNAY MANTES","ILE-DE-FRANCE","public",39,6,15.4
"780000311","CHIC POISSY ST GERMAIN SITE DE POISSY","ILE-DE-FRANCE","public",63,18,28.6
"780300208","CLINIQUE SAINT LOUIS","ILE-DE-FRANCE","private for profit",73,3,4.1
