"finessGeo","code_geo","annee","rs","statut","adresse","code_postal","ville","longitude","latitude","code_dep","lib_dep","code_reg","lib_reg","cso","LAB_SOFFCO"
"020018453","02200",2025,"SANTÉLYS DIALYSE À DOMICILE CH SOISSON","private for profit","58 PLACE SAINT GEORGES",2200,"COURMELLES","3.312757484","49.34494079","02","AISNE","32","HAUTS-DE-FRANCE",0,0
"020018545","02140",2025,"SANTÉLYS UNITÉ DE DIALYSE DE VERVINS","private for profit",NA,NA,NA,NA,NA,"02","AISNE","32","HAUTS-DE-FRANCE",0,0
"030000061","03000",2025,"CH DE MOULINS","public","10 AVENUE DU GENERAL DE GAULLE",3006,"MOULINS","3.3252615511","46.570294903","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030000079","03100",2025,"CH DE MONTLUCON","public","18 AVENUE DU 8 MAI 1945",3109,"MONTLUCON","2.6086236498","46.342729148","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030000087","03200",2025,"CH JACQUES LACARIN VICHY","public","BOULEVARD DENIERE",3201,"VICHY","3.4343385048","46.126986333","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030000095","03160",2025,"CH DE BOURBON L'ARCHAMBAULT","public","",3160,"BOURBON L ARCHAMBAULT","3.0461470944","46.577176734","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030002208","03240",2017,"CH DPT COEUR DU BOURBONNAIS","public","",3240,"TRONGET","3.0662226591","46.420533595","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030003669","03100",2025,"UNITÉ DE DIALYSE DE MONTLUCON","private for profit","95 AVENUE DES DROITS DE L'HOMME",3100,"MONTLUCON","2.5820177339","46.351675559","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030003719","03000",2025,"UNITÉ DE DIALYSE DE MOULINS","private for profit","10 AVENUE DU GENERAL DE GAULLE",3006,"MOULINS","3.3252615511","46.570294903","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030003768","03200",2025,"UNITÉ DE DIALYSE DE VICHY","private for profit","54 BOULEVARD DENIERE",3209,"VICHY","3.4343145978","46.127238565","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030007942","03500",2025,"CH DPT COEUR BOURBONNAIS ST POURCAIN","public","RUE DE CHAMPFEUILLET",3500,"SAINT POURCAIN SUR SIOULE","3.2889914917","46.30719559","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030780548","03200",2025,"POLYCLINIQUE LA PERGOLA","private for profit","75 ALLEE DES AILES",3205,"VICHY","3.4142287625","46.148034104","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030781116","03630",2025,"POLYCLINIQUE ST-FRANCOIS ST-ANTOINE","private for profit","8 RUE AMBROISE CROIZAT",3630,"DESERTINES","2.6197100528","46.345242988","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"030785430","03000",2025,"POLYCLINIQUE ST-ODILON - MOULINS","private for profit","32 AVENUE PROFESSEUR ETIENNE SORREL",3000,"MOULINS","3.336399","46.541763","03","ALLIER","84","AUVERGNE-RHÔNE-ALPES",0,0
"040000036","04C07",2025,"EPS PIERRE GROUES DE BARCELONNETTE","public","8 RUE MAURIN",4400,"BARCELONNETTE","6.6493527712","44.387993204","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040000044","04120",2025,"EPS DUCELIA DE CASTELLANE","public","QUARTIER NOTRE DAME",4120,"CASTELLANE","6.5051501302","43.847984373","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040000093","04100",2025,"CHIC DE MANOSQUE LOUIS RAFFALLI","public","RUE AUGUSTE GIRARD",4101,"MANOSQUE","5.8096642539","43.827200232","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040000119","04500",2025,"EPS LUMIERE DE RIEZ","public","PLACE EMILE BOUTEUIL",4500,"RIEZ","6.0907816769","43.818673678","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040000127","04140",2025,"EPS VALLEE DE LA BLANCHE SEYNE ALPES","public","ROUTE DE SAINT PONS",4140,"SEYNE","6.3745533518","44.352397849","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040000135","04200",2025,"CHIC DES ALPES DU SUD SITE DE SISTERON","public","4 AVENUE DE LA LIBERATION",4203,"SISTERON","5.9435853121","44.193217667","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040000911","04000",2025,"CH DE DIGNE LES BAINS","public","QUARTIER SAINT CHRISTOPHE",4003,"DIGNE LES BAINS","6.1872033558","44.077179609","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040003113","04200",2025,"AUTODIALYSE CH SISTERON","private for profit","4 AVENUE DE LA LIBERATION",4200,"SISTERON","5.9435853121","44.193217667","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040780389","04100",2022,"CLINIQUE MEDICALE JEAN GIONO","private for profit","81 BOULEVARD CHARLES DE GAULLE",4100,"MANOSQUE","5.7864601826","43.829857804","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040780470","04100",2025,"CLINIQUE CHIRURGICALE TOUTES AURES","private for profit","AVENUE DES SAVELS",4100,"MANOSQUE","5.7786737519","43.817837369","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040784860","04100",2025,"CENTRE D'HEMODIALYSE DES ALPES","private for profit","CHEMIN AUGUSTE GIRARD",4100,"MANOSQUE","5.8096642539","43.827200232","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040785230","04100",2018,"HEMOD DES ALPES DIAL A DOM MANOSQUE","private for profit","CHEMIN AUGUSTE GIRARD",4100,"MANOSQUE","5.8096642539","43.827200232","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"040787541","04000",2025,"CHR FAVRY AUTODIALYSE DIGNE","private for profit","QUARTIER ST CHRISTOPHE",4000,"DIGNE LES BAINS","6.1872033558","44.077179609","04","ALPES-DE-HAUTE-PROVENCE","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050000041","05100",2021,"CENTRE RHONE - AZUR BRIANCON","private not-for-profit","70 ROUTE DE GRENOBLE",5105,"BRIANCON","6.6268770872","44.91316412","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050000090","05000",2025,"CLINIQUE DES HAUTES-ALPES","private for profit","3 RUE ANTONIN CORONAT",5000,"GAP","6.0704631952","44.568689782","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050000223","05C03",2025,"CH AIGUILLES QUEYRAS","public","RUE SAINT JACQUES",5470,"AIGUILLES","6.8672351246","44.780946294","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050000231","05100",2025,"CH LES ESCARTONS A BRIANCON","public","24 AVENUE ADRIEN DAURELLE",5105,"BRIANCON","6.6329887885","44.90725908","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050000256","05C02",2025,"CH D'EMBRUN","public","8 RUE PIERRE ET MARIE CURIE",5200,"EMBRUN","6.4927350311","44.561759174","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050000330","05300",2020,"CHABRE COURT PSY","public","PLACE DES AIRES",5300,"LARAGNE MONTEGLIN","5.8236784176","44.315503732","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050000348","05000",2025,"CHIC DES ALPES DU SUD SITE DE GAP","public","1 PLACE AUGUSTE MURET",5007,"GAP","6.0732588245","44.556386494","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050000991","05100",2021,"CENTRE MÉDICAL CHANT'OURS","private not-for-profit","118 ROUTE DE GRENOBLE",5107,"BRIANCON","6.6205818702","44.918407813","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050003359","05100",2023,"UNITÉ DE DIALYSE MEDICALISEE AGDUC","private for profit","26 AVENUE ADRIEN DAURELLE",5105,"BRIANCON","6.6339589742","44.906181819","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050006022","05000",2025,"UNITÉ D'AUTODIALYSE AGDUC ADRET","private for profit","1 PLACE AUGUSTE MURET",5000,"GAP","6.0732588245","44.556386494","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050006436","05000",2014,"CHIC ALPES SUD MED GERIATRIQUE ET SSR","public",NA,NA,NA,NA,NA,"05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"050007533","05000",2025,"INSTITUT PAOLI CALMETTES RADIOTH GAP","public","1 PLACE AUGUSTE MURET",5007,"GAP","6.0732588245","44.556386494","05","HAUTES-ALPES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060000163","06660",2025,"CH SAINT MAUR SAINT ETIENNE TINEE","public","3 RUE DROITE",6660,"SAINT ETIENNE DE TINEE","6.924454962","44.255998976","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060000304","06540",2025,"CH DE BREIL SUR ROYA","public","RUE CORDIER",6540,"BREIL SUR ROYA","7.514523125","43.945423647","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060000411","06260",2025,"CH DU PAYS DE LA ROUDOULE PUGET","public","QUARTIER LA CONDAMINE",6260,"PUGET THENIERS","6.8974347019","43.952844895","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060000478","06130",2025,"CH DE GRASSE","public","CHEMIN DE CLAVARY",6135,"GRASSE","6.9307583707","43.61931171","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060000486","06380",2025,"CH SAINT ELOI DE SOSPEL","public","PLACE SAINT FRANCOIS",6380,"SOSPEL","7.4513591956","43.878367933","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060000494","06430",2025,"CH SAINT LAZARE DE TENDE","public","QUARTIER SPEGGI ROUTE NATIONALE 204",6430,"TENDE","7.5821866599","44.038253934","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060000510","06600",2025,"CH D'ANTIBES JUAN LES PINS","public","107 AVENUE DE NICE",6606,"ANTIBES","7.1172319066","43.601130121","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060000528","06000",2025,"CENTRE ANTOINE LACASSAGNE","public","33 AVENUE DE VALOMBROSE",6189,"NICE","7.275363848","43.725147883","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060000536","06450",2019,"HÔPITAL SAINT ANTOINE","public","AVENUE SAINT SARAVALLE",6450,"SAINT MARTIN VESUBIE","7.2589558946","44.072293891","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060000544","06400",2025,"CH DE CANNES SIMONE VEIL","public","15 AVENUE DES BROUSSAILLES",6414,"CANNES","7.0054606833","43.563058627","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060001450","06000",2016,"CHU DE NICE HÔPITAL SAINT ROCH","public academic","5 RUE PIERRE DEVOLUY",6006,"NICE","7.2740664061","43.702958424","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060001625","06450",2025,"CENTRE JEAN CHANTON ROQUEBILLIERE","public","BOULEVARD DU DOCTEUR RENE ROQUES",6450,"ROQUEBILLIERE","7.3026797342","44.013023005","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060002102","06500",2025,"CH LA PALMOSA DE MENTON","public","2 AVENUE ANTOINE PEGLION",6507,"MENTON","7.4734917077","43.775718569","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060010188","06600",2014,"SSR CLINICA JOURDAN SITE CLINIQUE WILSON","private for profit","28 AVENUE GASTON BOURGEOIS",6600,"ANTIBES","7.1177495619","43.574504517","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060010899","06000",2025,"INSTITUT UNIVERSITAIRE FACE ET COU","public academic","31 AVENUE DE VALOMBROSE",6000,"NICE","7.279614024","43.725485401","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060010949","06600",2025,"AGAHTIR UDM ANTIBES","private for profit","130 AVENUE DE NICE RN7",6606,"ANTIBES","7.1250896031","43.58041545","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060019288","06000",2014,"GCS HOP PEDIA NICE CHU LENVAL ET SIEGE","private not-for-profit",NA,NA,NA,NA,NA,"06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060019676","06130",2025,"AUTODIALYSE AGATHIR CH PETIT PARIS","private for profit","CHEMIN DE CLAVARY",6130,"GRASSE","6.9307583707","43.61931171","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060019684","06500",2015,"AUTODIALYSE AGAHTIR MR DU CH PALMOSA","private for profit","121 AVENUE DE SOSPEL",6500,"MENTON","7.4940806492","43.785398062","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060021276","06000",2025,"AGAHTIR CENTRE D'HEMODIALYSE","private for profit","2 AVENUE DE RIMIEZ",6105,"NICE","7.272875323","43.73941194","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060021417","06400",2025,"HÔPITAL PRIVÉ CANNES OXFORD","private for profit","33 BOULEVARD D'OXFORD",6400,"CANNES","7.0277536695","43.564719817","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060021631","06000",2014,"GCS HOP PEDIATRIQUES NICE CHU LENVAL","private not-for-profit",NA,NA,NA,NA,NA,"06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060022845","06700",2018,"UNITÉ DIALYSE MEDICALISEE INST TZANCK","private for profit","AVENUE DU DOCTEUR MAURICE DONAT",6700,"SAINT LAURENT DU VAR","7.1867735481","43.661561687","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060024395","06500",2019,"CHU DE NICE ANTENNE SMUR SITE CH","public academic","ANTOINE PEGLION",6507,"MENTON","7.473755345","43.775590564","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060024411","06000",2025,"CHU DE NICE ANTENNE SMUR SITE HPNCL","public academic","57 AVENUE DE LA CALIFORNIE",6000,"NICE","7.2411497955","43.689378755","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060025285","06450",2025,"UAD VIVALTO","private for profit","QUARTIER SAINT JEAN",6450,"ROQUEBILLIERE","7.3077167398","44.012743491","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060025681","06800",2025,"CENTRE NÉPHROLOGIQUE B.BRAUN AVITUM CAGNES SUR MER","private for profit",NA,NA,NA,NA,NA,"06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060780442","06000",2025,"CLINIQUE SAINT FRANCOIS","private for profit","10 BOULEVARD PASTEUR",6046,"NICE","7.2819243292","43.722483724","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060780491","06700",2025,"INSTITUT ARNAULT TZANCK","private for profit","231 AVENUE DU DOCTEUR MAURICE DONAT",6721,"SAINT LAURENT DU VAR","7.1852198744","43.661531431","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060780517","06800",2025,"POLYCLINIQUE SAINT-JEAN","private for profit","92 AVENUE DU DOCTEUR MAURICE DONAT",6800,"CAGNES SUR MER","7.1371002977","43.661184534","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060780590","06130",2025,"CLINIQUE DU PALAIS","private for profit","25 AVENUE CHIRIS",6130,"GRASSE","6.9295861173","43.657381238","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060780665","06400",2018,"CLINIQUE LE MERIDIEN","private for profit","93 AVENUE DU DOCTEUR RAYMOND PICAUD",6150,"CANNES","6.9878094453","43.550267634","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060780699","06000",2019,"CLINIQUE MOZART","private for profit","17 AVENUE AUBER",6000,"NICE","7.2615688688","43.701268189","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060780715","06000",2025,"CLINIQUE SAINT GEORGE","private for profit","2 AVENUE DE RIMIEZ",6105,"NICE","7.272875323","43.73941194","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060780723","06000",2025,"CLINIQUE DU PARC IMPERIAL","private for profit","28 BOULEVARD TZAREWITCH",6045,"NICE","7.2519589571","43.702824885","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060780756","06000",2025,"CLINIQUE SANTA MARIA","private for profit","57 AVENUE DE LA CALIFORNIE",6200,"NICE","7.2411497955","43.689378755","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
"060780947","06000",2025,"HÔPITAUX PEDIATRIQUES NICE CHU LENVAL","private not-for-profit","57 AVENUE DE LA CALIFORNIE",6200,"NICE","7.2411497955","43.689378755","06","ALPES-MARITIMES","93","PROVENCE-ALPES-CÔTE D'AZUR",0,0
